species,source,classification
brown_headed_cowbird,all_about_birds,Grasslands
brown_headed_cowbird,vgbi,facultative grassland
brown_headed_cowbird,vickery_1999_facultative,facultative grassland
brown_headed_nuthatch,all_about_birds,Forests
brown_pelican,all_about_birds,Oceans
brown_thrasher,all_about_birds,Scrub
brown_thrasher,peterjohn_2006,shrubland
brown_thrasher,vgbi,facultative grassland
buff_bellied_hummingbird,all_about_birds,Open Woodlands
buff_breasted_sandpiper,vickery_1999_obligate,grassland obligate
bufflehead,all_about_birds,Lakes and Ponds
bullocks_oriole,all_about_birds,Open Woodlands
burrowing_owl,all_about_birds,Grasslands
burrowing_owl,vickery_1999_obligate,grassland obligate
bushtit,all_about_birds,Scrub
cactus_wren,all_about_birds,Deserts
california_gnatcatcher,all_about_birds,Scrub
california_gull,all_about_birds,Lakes and Ponds
california_quail,all_about_birds,Scrub
california_thrasher,all_about_birds,Scrub
california_towhee,all_about_birds,Scrub
calliope_hummingbird,all_about_birds,Open Woodlands
canada_goose,all_about_birds,Marshes
canada_goose,vgbi,facultative grassland
canada_goose,vickery_1999_facultative,facultative grassland
canada_jay,all_about_birds,Forests
canada_warbler,all_about_birds,Forests
canvasback,all_about_birds,Lakes and Ponds
canyon_towhee,all_about_birds,Scrub
canyon_towhee,vickery_1999_facultative,facultative grassland
canyon_wren,all_about_birds,Deserts
cape_may_warbler,all_about_birds,Forests
carolina_chickadee,all_about_birds,Forests
carolina_wren,all_about_birds,Open Woodlands
carolina_wren,peterjohn_2006,shrubland
caspian_tern,all_about_birds,Shorelines
cassins_finch,all_about_birds,Forests
cassins_kingbird,all_about_birds,Open Woodlands
cassins_kingbird,vickery_1999_facultative,facultative grassland
cassins_sparrow,all_about_birds,Grasslands
cassins_sparrow,vickery_1999_obligate,grassland obligate
cassins_vireo,all_about_birds,Forests
cattle_egret,all_about_birds,Grasslands
cattle_egret,vickery_1999_facultative,facultative grassland
cave_swallow,all_about_birds,Grasslands
cedar_waxwing,all_about_birds,Open Woodlands
cerulean_warbler,all_about_birds,Forests
chestnut_backed_chickadee,all_about_birds,Forests
chestnut_collared_longspur,all_about_birds,Grasslands
chestnut_collared_longspur,vickery_1999_obligate,grassland obligate
chestnut_sided_warbler,all_about_birds,Open Woodlands
chestnut_sided_warbler,peterjohn_2006,shrubland
chihuahuan_raven,all_about_birds,Scrub
chihuahuan_raven,vickery_1999_facultative,facultative grassland
chimney_swift,all_about_birds,Towns
chimney_swift,vgbi,facultative grassland
chipping_sparrow,all_about_birds,Open Woodlands
chipping_sparrow,vgbi,facultative grassland
