species,source,classification
sharp_shinned_hawk,all_about_birds,Forests
sharp_tailed_grouse,all_about_birds,Grasslands
sharp_tailed_grouse,vickery_1999_obligate,grassland obligate
shiny_cowbird,vickery_1999_facultative,facultative grassland
short_billed_dowitcher,all_about_birds,Marshes
short_billed_dowitcher,vickery_1999_facultative,facultative grassland
short_eared_owl,all_about_birds,Grasslands
short_eared_owl,vgbi,facultative grassland
short_eared_owl,vickery_1999_obligate,grassland obligate
short_tailed_hawk,all_about_birds,Forests
sierra_madre_sparrow,vickery_1999_obligate,grassland obligate
smiths_longspur,vickery_1999_obligate,grassland obligate
smooth_billed_ani,all_about_birds,Scrub
snow_bunting,vickery_1999_obligate,grassland obligate
snow_goose,vickery_1999_facultative,facultative grassland
snowy_egret,all_about_birds,Marshes
snowy_owl,vickery_1999_obligate,grassland obligate
snowy_plover,all_about_birds,Shorelines
solitary_sandpiper,all_about_birds,Marshes
song_sparrow,all_about_birds,Open Woodlands
song_sparrow,peterjohn_2006,shrubland
song_sparrow,vgbi,facultative grassland
sooty_grouse,all_about_birds,Forests
sora,all_about_birds,Marshes
spot_breasted_oriole,all_about_birds,Towns
spotted_owl,all_about_birds,Forests
spotted_sandpiper,all_about_birds,Shorelines
spotted_towhee,all_about_birds,Scrub
spragues_pipit,all_about_birds,Grasslands
spragues_pipit,vickery_1999_obligate,grassland obligate
spruce_grouse,all_about_birds,Forests
stellers_jay,all_about_birds,Forests
striped_owl,vickery_1999_facultative,facultative grassland
striped_sparrow,vickery_1999_obligate,grassland obligate
sulphur_bellied_flycatcher,all_about_birds,Forests
summer_tanager,all_about_birds,Open Woodlands
surf_scoter,all_about_birds,Oceans
surfbird,vickery_1999_facultative,facultative grassland
swainsons_hawk,all_about_birds,Grasslands
swainsons_hawk,vickery_1999_obligate,grassland obligate
swainsons_thrush,all_about_birds,Forests
swainsons_warbler,all_about_birds,Forests
swallow_tailed_kite,all_about_birds,Forests
swamp_sparrow,all_about_birds,Marshes
tennessee_warbler,all_about_birds,Forests
thick_billed_kingbird,all_about_birds,Open Woodlands
townsends_solitaire,all_about_birds,Open Woodlands
townsends_warbler,all_about_birds,Forests
tree_swallow,all_about_birds,Lakes and Ponds
tree_swallow,vgbi,facultative grassland
tricolored_blackbird,all_about_birds,Marshes
tricolored_heron,all_about_birds,Marshes
trumpeter_swan,all_about_birds,Lakes and Ponds
tufted_titmouse,all_about_birds,Forests
tundra_swan,all_about_birds,Lakes and Ponds
turkey_vulture,all_about_birds,Open Woodlands
turkey_vulture,vickery_1999_facultative,facultative grassland
upland_sandpiper,all_about_birds,Grasslands
upland_sandpiper,vickery_1999_obligate,grassland obligate
varied_bunting,all_about_birds,Scrub
varied_thrush,all_about_birds,Forests
vauxs_swift,all_about_birds,Forests
veery,all_about_birds,Forests
verdin,all_about_birds,Scrub
vermilion_flycatcher,all_about_birds,Grasslands
vesper_sparrow,all_about_birds,Grasslands
vesper_sparrow,vickery_1999_obligate,grassland obligate
violet_green_swallow,all_about_birds,Open Woodlands
virginia_rail,all_about_birds,Marshes
virginias_warbler,all_about_birds,Open Woodlands
wandering_tattler,all_about_birds,Shorelines
warbling_vireo,all_about_birds,Open Woodlands
western_bluebird,all_about_birds,Open Woodlands
western_bluebird,vickery_1999_facultative,facultative grassland
western_gull,all_about_birds,Oceans
western_kingbird,all_about_birds,Grasslands
western_kingbird,vickery_1999_facultative,facultative grassland
western_meadowlark,all_about_birds,Grasslands
western_meadowlark,vickery_1999_obligate,grassland obligate
western_sandpiper,all_about_birds,Shorelines
western_sandpiper,vickery_1999_facultative,facultative grassland
western_screech_owl,all_about_birds,Open Woodlands
western_tanager,all_about_birds,Forests
western_wood_pewee,all_about_birds,Open Woodlands
whimbrel,all_about_birds,Shorelines
whimbrel,vickery_1999_facultative,facultative grassland
white_breasted_nuthatch,all_about_birds,Forests
white_crowned_pigeon,all_about_birds,Forests
white_crowned_sparrow,all_about_birds,Scrub
white_crowned_sparrow,vgbi,facultative grassland
white_eyed_vireo,all_about_birds,Scrub
white_eyed_vireo,peterjohn_2006,shrubland
white_faced_ibis,all_about_birds,Marshes
white_headed_woodpecker,all_about_birds,Forests
white_ibis,all_about_birds,Marshes
white_rumped_sandpiper,vickery_1999_facultative,facultative grassland
white_tailed_hawk,all_about_birds,Grasslands
white_tailed_kite,all_about_birds,Grasslands
white_tailed_ptarmigan,vickery_1999_obligate,grassland obligate
white_throated_sparrow,all_about_birds,Forests
white_throated_sparrow,vgbi,facultative grassland
white_throated_swift,all_about_birds,Scrub
white_tipped_dove,all_about_birds,Open Woodlands
white_winged_crossbill,all_about_birds,Forests
white_winged_dove,all_about_birds,Towns
white_winged_scoter,all_about_birds,Lakes and Ponds
whooping_crane,vickery_1999_facultative,facultative grassland
wild_turkey,all_about_birds,Open Woodlands
wild_turkey,vgbi,facultative grassland
willet,all_about_birds,Shorelines
willet,vickery_1999_facultative,facultative grassland
williamsons_sapsucker,all_about_birds,Forests
willow_flycatcher,peterjohn_2006,shrubland
willow_ptarmigan,all_about_birds,Tundra
willow_ptarmigan,vickery_1999_facultative,facultative grassland
wilsons_phalarope,all_about_birds,Lakes and Ponds
wilsons_phalarope,vickery_1999_facultative,facultative grassland
wilsons_plover,all_about_birds,Shorelines
wilsons_snipe,all_about_birds,Marshes
wilsons_warbler,all_about_birds,Scrub
winter_wren,all_about_birds,Forests
wood_duck,all_about_birds,Lakes and Ponds
wood_stork,all_about_birds,Marshes
wood_thrush,all_about_birds,Forests
worm_eating_warbler,all_about_birds,Forests
worthens_sparrow,vickery_1999_facultative,facultative grassland
wrentit,all_about_birds,Scrub
yellow_bellied_flycatcher,all_about_birds,Forests
yellow_bellied_sapsucker,all_about_birds,Forests
yellow_bellied_seedeater,vickery_1999_facultative,facultative grassland
yellow_billed_cuckoo,all_about_birds,Open Woodlands
yellow_billed_cuckoo,peterjohn_2006,shrubland
yellow_billed_cuckoo,vgbi,facultative grassland
yellow_billed_magpie,all_about_birds,Open Woodlands
yellow_breasted_chat,all_about_birds,Scrub
yellow_breasted_chat,peterjohn_2006,shrubland
yellow_breasted_chat,vgbi,facultative grassland
yellow_crowned_night_heron,all_about_birds,Marshes
yellow_eyed_junco,all_about_birds,Open Woodlands
yellow_faced_grassquit,vickery_1999_facultative,facultative grassland
yellow_headed_blackbird,all_about_birds,Marshes
yellow_rail,all_about_birds,Marshes
yellow_rail,vickery_1999_facultative,facultative grassland
yellow_throated_vireo,all_about_birds,Open Woodlands
yellow_throated_warbler,all_about_birds,Forests
yellow_warbler,all_about_birds,Open Woodlands
yellow_warbler,peterjohn_2006,shrubland
zone_tailed_hawk,all_about_birds,Forests
