response_metric,model_family,specification,guild,bmp,estimate,lcl,ucl,excludes_zero,primary_estimate,primary_excludes_zero,is_new_cell,estimate_shift,conclusion_changed,change_type
species_richness,richness_bmp,outliers_removed,,eliminate_pesticides,0.32778973854121163,-0.05407994959248047,0.7414351438471872,FALSE,0.8658093364763944,TRUE,FALSE,-0.5380195979351827,TRUE,Lost
abundance,abundance_guild_bmp,great_plains_only,facultative_grassland,plant_nwsg,-0.07796511861949545,-0.7255030169647448,0.5884231228923845,FALSE,0.37755401014699946,TRUE,FALSE,-0.4555191287664949,TRUE,Lost
species_richness,richness_bmp,europe_dropped,,eliminate_pesticides,0.46826103338729447,-0.453211279474058,1.3824188126418155,FALSE,0.8658093364763944,TRUE,FALSE,-0.3975483030890999,TRUE,Lost
abundance,abundance_guild_bmp,great_plains_dropped,facultative_grassland,prescribed_fire,-0.05236514051193199,-0.4658694979580488,0.35989583076754283,FALSE,-0.38276572384377666,TRUE,FALSE,0.3304005833318447,TRUE,Lost
species_richness,richness_bmp,tighter_priors,,eliminate_pesticides,0.5748478302405977,-0.1032431442813339,1.2217474439007567,FALSE,0.8658093364763944,TRUE,FALSE,-0.29096150623579664,TRUE,Lost
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,plant_nwsg,0.10486964161095441,-0.224337688879793,0.42349120252955214,FALSE,0.37755401014699946,TRUE,FALSE,-0.27268436853604505,TRUE,Lost
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,prescribed_fire,-0.1195598499092198,-0.450450195552643,0.21427892288363323,FALSE,-0.38276572384377666,TRUE,FALSE,0.26320587393455686,TRUE,Lost
abundance,abundance_guild_bmp,one_effect_per_study_cell,obligate_grassland,prescribed_fire,0.05526176832402274,-0.20692804186959324,0.3090425955299986,FALSE,0.2758485962985455,TRUE,FALSE,-0.22058682797452278,TRUE,Lost
abundance,abundance_guild_bmp,zero_variance_arm_removed,facultative_grassland,prescribed_fire,-0.18938734874818966,-0.4720969548732143,0.09213412691188337,FALSE,-0.38276572384377666,TRUE,FALSE,0.193378375095587,TRUE,Lost
abundance,abundance_guild_bmp,zero_variance_arm_removed,obligate_grassland,provide_overwintering_habitat,0.2721485920379464,-0.2234817259351258,0.7628532036145484,FALSE,0.4529168688949517,TRUE,FALSE,-0.1807682768570053,TRUE,Lost
abundance,abundance_guild_bmp,southeast_us_dropped,facultative_grassland,plant_nwsg,0.2383796494127167,-0.03816062579775663,0.5154851687147495,FALSE,0.37755401014699946,TRUE,FALSE,-0.13917436073428277,TRUE,Lost
abundance,abundance_guild_bmp,great_plains_only,obligate_grassland,prescribed_fire,0.18183858846854456,-0.23136522709172044,0.589802633077242,FALSE,0.2758485962985455,TRUE,FALSE,-0.09401000783000096,TRUE,Lost
abundance,abundance_guild_bmp,zero_variance_arm_removed,obligate_grassland,prescribed_fire,0.18331144557129045,-0.058088765978178365,0.4425786249669251,FALSE,0.2758485962985455,TRUE,FALSE,-0.09253715072725507,TRUE,Lost
abundance,abundance_guild_bmp,one_effect_per_study_cell,obligate_grassland,provide_overwintering_habitat,0.515805956196657,-0.07430876983020566,1.0981698814075358,FALSE,0.4529168688949517,TRUE,FALSE,0.06288908730170534,TRUE,Lost
abundance,abundance_guild_bmp,great_plains_dropped,obligate_grassland,prescribed_fire,0.2273155904296968,-0.10556729964998998,0.5811279996709519,FALSE,0.2758485962985455,TRUE,FALSE,-0.04853300586884873,TRUE,Lost
abundance,abundance_guild_bmp,great_plains_only,facultative_grassland,prescribed_fire,-0.33726090223751604,-0.8746274263282058,0.21591912789602166,FALSE,-0.38276572384377666,TRUE,FALSE,0.045504821606260626,TRUE,Lost
abundance,abundance_guild_bmp,southeast_us_dropped,obligate_grassland,prescribed_fire,0.2367684638440302,-0.007048033386088816,0.48479801942008277,FALSE,0.2758485962985455,TRUE,FALSE,-0.03908013245451533,TRUE,Lost
species_richness,richness_bmp,group_means_only,,eliminate_pesticides,0.9012699052047938,-0.13199175934125418,1.9344664561726725,FALSE,0.8658093364763944,TRUE,FALSE,0.03546056872839942,TRUE,Lost
species_richness,richness_bmp,one_effect_per_study_cell,,eliminate_pesticides,0.8353959215979472,-0.018556144186894753,1.6668309805028885,FALSE,0.8658093364763944,TRUE,FALSE,-0.030413414878447176,TRUE,Lost
abundance,abundance_guild_bmp,paper_floor_two,obligate_grassland,provide_overwintering_habitat,0.42535868927930554,-0.0021934123772655127,0.8527767268127163,FALSE,0.4529168688949517,TRUE,FALSE,-0.02755817961564616,TRUE,Lost
species_richness,richness_bmp,southeast_us_dropped,,eliminate_pesticides,0.8444741002271461,-0.07458430951110775,1.750482014976811,FALSE,0.8658093364763944,TRUE,FALSE,-0.02133523624924827,TRUE,Lost
nest_success,nest_success_guild_bmp,outliers_removed,facultative_grassland,edge_and_shrub_habitat,0.723228221745003,0.15125438078565137,1.1432843043737475,TRUE,0.3727625950613508,FALSE,FALSE,0.3504656266836522,TRUE,Gained
abundance,abundance_pooled_bmp,great_plains_dropped,all_grassland,plant_nwsg,0.3965663101550904,0.15313489066266536,0.6604245668595105,TRUE,0.19674726137536241,FALSE,FALSE,0.199819048779728,TRUE,Gained
nest_success,nest_success_guild_bmp,outliers_removed,obligate_grassland,edge_and_shrub_habitat,-0.5531804026093781,-1.015579387123029,-0.10343842837686916,TRUE,-0.43765870393740536,FALSE,FALSE,-0.1155216986719727,TRUE,Gained
abundance,abundance_guild_bmp,zero_variance_arm_removed,obligate_grassland,reduce_grazing_intensity,0.4953566114795226,0.024461416479809078,0.9758375421315796,TRUE,0.4462089539470021,FALSE,FALSE,0.04914765753252048,TRUE,Gained
abundance,abundance_guild_bmp,wider_priors,obligate_grassland,reduce_grazing_intensity,0.4750795324323406,0.024120552887757375,0.9284317408693913,TRUE,0.4462089539470021,FALSE,FALSE,0.02887057848533847,TRUE,Gained
abundance,abundance_pooled_bmp,outliers_removed,all_grassland,plant_nwsg,0.20892780984877715,0.033057962436613485,0.3942805448983309,TRUE,0.19674726137536241,FALSE,FALSE,0.012180548473414737,TRUE,Gained
abundance,abundance_guild_bmp,paper_floor_two,obligate_grassland,reduce_grazing_intensity,0.44307111491443935,0.006074187283171291,0.890333390906606,TRUE,0.4462089539470021,FALSE,FALSE,-0.0031378390325627614,TRUE,Gained
abundance,abundance_guild_bmp,flagged_effects_removed,obligate_grassland,reduce_grazing_intensity,0.44469556296934776,0.008581601384117085,0.8868718713149588,TRUE,0.4462089539470021,FALSE,FALSE,-0.0015133909776543497,TRUE,Gained
