model,level,typical_sampling_variance,tau,tau_lcl,tau_ucl,i2,i2_lcl,i2_ucl
richness_bmp,within study (between effect sizes),0.08544609702661486,0.4985735907290601,0.3418139345042587,0.7016319052696101,18.53475065356286,7.401050932479588,41.969504457647716
richness_bmp,between studies,0.08544609702661486,0.9951891249775797,0.6488411093786691,1.4279378332014532,74.86688036871156,48.96671488643348,88.13294284136565
nest_success_guild_bmp,within study (between effect sizes),0.011851138154080612,0.4129973321696844,0.26893158158029434,0.6150055868608489,63.621236537656515,21.208014463120993,93.43851915897304
nest_success_guild_bmp,between studies,0.011851138154080612,0.22531878120619458,0.01240441107066553,0.5950854812923598,18.84455158954559,0.060627934334126866,70.37470610632748
nest_success_guild_bmp,between species,0.011851138154080612,0.11641293115439696,0.005898086509353647,0.43444482890460906,4.902013255806427,0.01310843290686153,44.7767828745034
abundance_guild_bmp,within study (between effect sizes),0.08254274508457222,0.48429109090439504,0.43384559451886334,0.5385022229799485,46.19257809005031,35.102037794318,57.61647182318672
abundance_guild_bmp,between studies,0.08254274508457222,0.3383260331997985,0.23547761424352032,0.46194039906145895,22.602225598131938,12.050347066691367,36.01630758556791
abundance_guild_bmp,between species,0.08254274508457222,0.26705927702243626,0.169000374488752,0.378878228464038,14.06161716362637,5.934322176081262,25.48059303229049
abundance_pooled_bmp,within study (between effect sizes),0.0831645478602264,0.4986972626652749,0.45257192156022774,0.54880325971655,46.0545700849443,35.375234732519075,57.018647002685
abundance_pooled_bmp,between studies,0.0831645478602264,0.33927987971181767,0.2316707246675646,0.46840766244829346,21.429811864316786,10.87999976740102,34.62993142752558
abundance_pooled_bmp,between species,0.0831645478602264,0.2972712493962857,0.20933143997429007,0.4043513878316001,16.368361094401124,8.53489123256387,27.289402010479925
