es_id,key,paper,bmp,response_var,survival_scale,sign,xbar_e,xbar_c,effect_metric,yi,sei,excluded_by
md_0720,IXNBX5LG,Perlut et al. 2006,delay_hay,number of offspring fledged per female,period_survival,1,3.29,1.28,log_hazard_ratio,0.2441169883730605,0.0391900123876719,response_flag
md_0723,S9JEF6KQ,Pintaric et al. 2019,delay_hay,dsr,daily_survival,1,0.978,0.939,log_hazard_ratio,1.0400340719552106,0.4047731430813913,treatment_control_flag
md_0740,ABXAGBLU,Purcell et al. 1997,install_nest_boxes,daily mortality rate,daily_survival,-1,0.0134,0.017,log_hazard_ratio,0.2397817549966268,0.06361990311938098,paper_count
md_0741,ABXAGBLU,Purcell et al. 1997,install_nest_boxes,daily mortality rate,daily_survival,-1,0.0117,0.0124,log_hazard_ratio,0.05846118394924904,0.01820646692173351,
md_0742,ABXAGBLU,Purcell et al. 1997,install_nest_boxes,daily mortality rate,daily_survival,-1,0.005,0.0126,log_hazard_ratio,0.9280870047751436,0.07829094548074585,paper_count
md_0743,ABXAGBLU,Purcell et al. 1997,install_nest_boxes,daily mortality rate,daily_survival,-1,0.0133,0.0297,log_hazard_ratio,0.8117329745459863,0.05106321163438634,paper_count
md_0911,VGVWR7ZM,Sandercock et al. 2015,prescribed_fire,nest survival,period_survival,1,0.068,0.247,log_hazard_ratio,-0.6535844357512751,0.2527707581443194,paper_count
md_0912,VGVWR7ZM,Sandercock et al. 2015,prescribed_fire,nest survival,period_survival,1,0.21,0.201,log_hazard_ratio,0.02768029158353918,0.2498416730563405,paper_count
md_0913,VGVWR7ZM,Sandercock et al. 2015,prescribed_fire,dsr,daily_survival,1,0.9326,0.9495,log_hazard_ratio,-0.2975602683131173,0.16197642858885294,duplicate_expression
md_0914,VGVWR7ZM,Sandercock et al. 2015,prescribed_fire,nest survival,period_survival,1,0.132,0.223,log_hazard_ratio,-0.2996926289345759,0.1623150853440162,paper_count
md_0915,SUGK7SWB,Sasvári and Hegyi 1998,install_nest_boxes,number of fledglings per successful nest,period_survival,1,7.55,8.42,log_hazard_ratio,-0.04312978441552151,0.04832841531320072,treatment_control_flag
md_0916,SUGK7SWB,Sasvári and Hegyi 1998,install_nest_boxes,number of fledglings per successful nest,period_survival,1,7.88,8.47,log_hazard_ratio,-0.02882837219154654,0.04663454972113595,treatment_control_flag
md_0917,SUGK7SWB,Sasvári and Hegyi 1998,install_nest_boxes,number of fledglings per successful nest,period_survival,1,8.15,8.57,log_hazard_ratio,-0.02024615953622544,0.04786155988031455,treatment_control_flag
md_0918,SUGK7SWB,Sasvári and Hegyi 1998,install_nest_boxes,number of fledglings per successful nest,period_survival,1,7.76,9.04,log_hazard_ratio,-0.06158643843633304,0.05098512209097963,treatment_control_flag
