recorded_place,place,place_type,country_code,note
conterminous_united_states,united_states,country,US,"The lower 48, recorded as a region in its own right"
saint_helena_island,saint_helena,territory,SH,"ISO names this Saint Helena, Ascension and Tristan da Cunha"
russia,russian_federation,country,RU,Russia is Russian Federation
florida,florida,state,US,Name is in more than one place
maryland,maryland,state,US,Name is in more than one place
montana,montana,state,US,Name is in more than one place
georgia,georgia,state,US,Name is in more than one place
mexico,mexico,country,MX,Name is in more than one place
