model,n_parameters,max_rhat,min_bulk_ess,min_tail_ess,n_divergent,converged
richness_bmp,141,1.0006874503147856,4108.886549062029,7706.49865883831,0,TRUE
abundance_guild,935,1.0010727882961705,5600.78196566997,8961.05439422918,0,TRUE
abundance_guild_bmp,939,1.0010768928675415,4724.435440411561,8596.439744367324,0,TRUE
nest_success_guild_bmp,77,1.0007348208295461,5944.485977007828,9048.29943382391,2,FALSE
abundance_pooled_bmp,1021,1.000998924726255,5448.799875769131,10188.924192752656,0,TRUE
