species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
black_billed_magpie,Open Woodlands,NA,forest; shrub; grasslands; plains; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
black_rail,Marshes,NA,savannah; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh,NA,NA,NA,NA,NA,facultative,TRUE
black_rosy_finch,NA,NA,grasslands; rocky_areas; artificial; riparian; coastal,NA,NA,Tundra:  Alpine; Aridlands:  Sagebrush,NA,NA,NA,NA,facultative grassland,facultative,TRUE
black_scoter,Oceans,NA,grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Marine Waters,NA,NA,NA,NA,NA,facultative,TRUE
black_tailed_godwit,NA,NA,plains; artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,grassland; swamp,NA,NA,facultative,TRUE
black_throated_bobwhite,NA,NA,forest; woodland; shrub; savannah; artificial,NA,NA,Forests:  Tropical Dry; Grasslands:  Tropical,NA,NA,NA,NA,facultative grassland,facultative,TRUE
black_throated_mango,NA,NA,shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
black_vulture,Grasslands,NA,NA,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
blue_and_white_swallow,NA,NA,grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic; Open Country Aerial:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
blue_black_grassquit,NA,NA,shrub; savannah; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative grassland,facultative,TRUE
blue_gray_tanager,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
blue_grosbeak,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial; riparian,NA,NA,Forests:  Temperate Eastern; Aridlands:  Desert Riparian; Open Country:  Habitat Mosaic,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
