species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
grassland_yellow_finch,NA,NA,savannah; grasslands; artificial; coastal,NA,NA,Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
gray_breasted_martin,NA,NA,NA,NA,NA,Open Country Aerial:  Habitat Mosaic; Open Country Aerial:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
gray_capped_flycatcher,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
gray_crowned_rosy_finch,NA,NA,NA,NA,NA,Tundra:  Alpine; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
gray_crowned_yellowthroat,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
gray_hawk,Forests,NA,NA,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Riparian; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
gray_lined_hawk,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
gray_partridge,Grasslands,NA,NA,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative grassland,facultative,TRUE
great_black_backed_gull,Shorelines,NA,grasslands; artificial; coastal; wetlands_lakes_marsh; pelagic,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,NA,facultative,TRUE
great_horned_owl,Forests,NA,forest; woodland; rocky_areas; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
great_kiskadee,Open Woodlands,NA,forest; woodland; shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Dry,NA,NA,NA,NA,NA,facultative,TRUE
great_tailed_grackle,Scrub,NA,bamboo; shrub; grasslands; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
greater_prairie_chicken,Grasslands,NA,forest; woodland; shrub; savannah; grasslands; artificial; riparian; coastal,NA,NA,Grasslands:  Temperate,NA,NA,NA,NA,grassland obligate,obligate,TRUE
greater_scaup,Lakes and Ponds,NA,forest; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,NA,facultative,TRUE
greater_white_fronted_goose,Lakes and Ponds,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
green_winged_teal,Marshes,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
groove_billed_ani,Scrub,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
gyrfalcon,Tundra,NA,shrub; grasslands; plains; rocky_areas; artificial; riparian; coastal,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
henslows_sparrow,Grasslands,NA,woodland; shrub; grasslands,NA,NA,Grasslands:  Temperate; Forests:  Temperate Eastern,NA,NA,NA,NA,grassland obligate,obligate,TRUE
hepatic_tanager,Forests,NA,forest; woodland; shrub; savannah,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,NA,facultative,TRUE
hermit_thrush,Open Woodlands,NA,forest; woodland; shrub; grasslands; rocky_areas; artificial,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,NA,facultative,TRUE
hoary_redpoll,Open Woodlands,NA,NA,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
horned_lark,Grasslands,NA,shrub; grasslands; plains; rocky_areas; desert; artificial; coastal,NA,NA,Grasslands:  Temperate; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,NA,NA,grassland obligate,obligate,TRUE
house_finch,Towns,NA,woodland; shrub; savannah; rocky_areas; desert; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,NA,facultative,TRUE
house_wren,Scrub,NA,NA,NA,NA,Forests:  Generalist; Open Country:  Developed/Disturbed; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
hudsonian_godwit,NA,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative grassland,facultative,TRUE
inca_dove,Towns,NA,woodland; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
indigo_bunting,Open Woodlands,NA,woodland; shrub; savannah; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Open Country:  Habitat Mosaic,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
indigo_bunting_blue_grosbeak,NA,NA,NA,NA,facultative,NA,NA,NA,NA,NA,NA,facultative,TRUE
isthmian_wren,NA,NA,forest; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
jabiru,NA,NA,savannah; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
killdeer,Grasslands,NA,savannah; grasslands; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
lapland_longspur,Grasslands,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,grassland obligate,obligate,TRUE
lark_bunting,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan; Aridlands:  Desert Scrub,NA,NA,NA,NA,grassland obligate,obligate,TRUE
lark_sparrow,Grasslands,NA,forest; woodland; shrub; savannah; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
lazuli_bunting,Open Woodlands,NA,forest; woodland; shrub,NA,NA,Forests:  Temperate Western; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
le_contes_sparrow,NA,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Grasslands:  Temperate,NA,NA,NA,NA,grassland obligate,obligate,TRUE
least_sandpiper,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
lesser_elaenia,NA,NA,forest; woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
lesser_goldfinch,Open Woodlands,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
lesser_nighthawk,Deserts,NA,shrub; savannah; plains; desert; artificial; coastal,NA,NA,Aridlands Aerial:  Desert Scrub; Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
lesser_prairie_chicken,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Grasslands:  Temperate,NA,NA,NA,NA,grassland obligate,obligate,TRUE
lesser_yellow_headed_vulture,NA,NA,shrub; savannah; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Tropical; Wetlands:  Freshwater Marsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
lesser_yellowlegs,Marshes,NA,shrub; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
lincolns_sparrow,Scrub,NA,woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Forests:  Temperate Western; Forests:  Generalist,NA,NA,NA,NA,NA,facultative,TRUE
little_blue_heron,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,NA,facultative,TRUE
loggerhead_shrike,Open Woodlands,NA,woodland; shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Temperate; Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
long_billed_curlew,Grasslands,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,grassland obligate,obligate,TRUE
long_billed_dowitcher,NA,NA,grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
long_eared_owl,Forests,NA,forest; woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,grassland obligate,obligate,TRUE
long_tailed_jaeger,Tundra,NA,grasslands; pelagic,NA,NA,Tundra:  Arctic; Tundra:  Alpine; Oceans:  Pelagic,NA,NA,NA,NA,grassland obligate,obligate,TRUE
magnolia_warbler,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
mallard,NA,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
marbled_godwit,Grasslands,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,NA,grassland obligate,obligate,TRUE
marbled_murrelet,Oceans,NA,forest; grasslands; coastal; pelagic,NA,NA,Forests:  Temperate Western; Coasts:  Marine Waters,NA,NA,NA,NA,NA,facultative,TRUE
mccowns_longspur,Grasslands,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland obligate,obligate,TRUE
mckays_bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland obligate,obligate,TRUE
meadow_pipit,NA,NA,forest; shrub; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,grassland; mountain_meadow,NA,NA,facultative,TRUE
meadowlark_spp,NA,NA,NA,NA,obligate,NA,NA,NA,NA,NA,NA,obligate,TRUE
melodious_blackbird,NA,NA,forest; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
merlin,Forests,NA,woodland; shrub; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
mississippi_kite,Open Woodlands,NA,woodland; savannah; grasslands; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
montezuma_quail,Open Woodlands,NA,forest; woodland; grasslands,NA,NA,Forests:  Mesoamerican Pine-Oak; Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
mountain_bluebird,Open Woodlands,NA,woodland; grasslands,NA,NA,Open Country:  Habitat Mosaic; Tundra:  Alpine; Forests:  Temperate Western; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative grassland,facultative,TRUE
mountain_plover,Grasslands,NA,grasslands,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
mourning_dove,Open Woodlands,NA,woodland; savannah; plains; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
nelsons_sparrow,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Coasts:  Saltmarsh,NA,NA,NA,NA,NA,facultative,TRUE
northern_beardless_tyrannulet,Rivers and Streams,NA,forest; shrub; savannah; riparian,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Riparian; Aridlands:  Desert Scrub,NA,NA,NA,NA,NA,facultative,TRUE
northern_bobwhite,Grasslands,NA,woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Dry,shrubland,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
northern_cardinal,Open Woodlands,NA,forest; shrub,NA,NA,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
northern_flicker,Open Woodlands,NA,NA,NA,NA,Forests:  Generalist; Forests:  Temperate Generalist,NA,NA,NA,facultative grassland,NA,facultative,TRUE
northern_harrier,Grasslands,NA,shrub; grasslands; desert; artificial; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Wetlands:  Freshwater Marsh; Open Country:  Habitat Mosaic; Coasts:  Saltmarsh,NA,NA,NA,NA,grassland obligate,obligate,TRUE
northern_hawk_owl,Forests,NA,woodland; grasslands; artificial,NA,NA,Forests:  Boreal,NA,NA,NA,NA,NA,facultative,TRUE
northern_lapwing,NA,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,grassland,NA,NA,obligate,TRUE
northern_mockingbird,Towns,NA,forest; shrub; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
northern_pintail,Marshes,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
northern_rough_winged_swallow,Rivers and Streams,NA,shrub; artificial; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers,NA,NA,NA,NA,NA,facultative,TRUE
northern_shoveler,Marshes,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
northern_shrike,Open Woodlands,NA,NA,NA,NA,Forests:  Boreal; Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
northern_wheatear,Tundra,NA,shrub; savannah; grasslands; plains; rocky_areas; artificial; riparian,NA,NA,Tundra:  Arctic; Tundra:  Alpine; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
oaxaca_sparrow,NA,NA,shrub,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,facultative grassland,facultative,TRUE
obligate_grassland_species,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
ocellated_quail,NA,NA,woodland,NA,NA,Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,grassland obligate,obligate,TRUE
orchard_oriole,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Generalist,NA,NA,NA,facultative grassland,NA,facultative,TRUE
pacific_golden_plover,Grasslands,NA,grasslands; rocky_areas; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,NA,grassland obligate,obligate,TRUE
painted_bunting,Scrub,NA,shrub; grasslands; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
pale_breasted_spinetail,NA,NA,woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
palm_tanager,NA,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
palm_warbler,Open Woodlands,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
parasitic_jaeger,Tundra,NA,NA,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Oceans:  Pelagic; Coasts:  Marine Waters,NA,NA,NA,NA,grassland obligate,obligate,TRUE
pearl_kite,NA,NA,woodland; shrub; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
pectoral_sandpiper,NA,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Grasslands:  Pampas and Campos; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,NA,facultative grassland,facultative,TRUE
peregrine_falcon,Shorelines,NA,grasslands; plains; rocky_areas; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative grassland,facultative,TRUE
pine_warbler,Forests,NA,forest; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,NA,facultative,TRUE
pinyon_jay,Open Woodlands,NA,forest; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,NA,facultative,TRUE
piratic_flycatcher,NA,NA,forest; woodland; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,NA,facultative,TRUE
pomarine_jaeger,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Oceans:  Pelagic,NA,NA,NA,NA,grassland obligate,obligate,TRUE
prairie_falcon,Grasslands,NA,shrub; grasslands; plains; rocky_areas; desert; artificial,NA,NA,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub; Grasslands:  Temperate,NA,NA,NA,NA,facultative grassland,facultative,TRUE
prairie_warbler,Scrub,NA,woodland; shrub; artificial; coastal; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Islands:  Terrestrial Habitats; Coasts:  Mangroves,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
purple_martin,Lakes and Ponds,NA,woodland; shrub; desert; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers,NA,NA,NA,facultative grassland,NA,facultative,TRUE
purple_sandpiper,NA,NA,grasslands; riparian; coastal,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Coasts:  Rocky Intertidal,NA,NA,NA,NA,facultative grassland,facultative,TRUE
red_breasted_meadowlark,NA,NA,shrub; savannah; grasslands; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
red_breasted_merganser,Lakes and Ponds,NA,grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Boreal; Coasts:  Marine Waters; Coasts:  Beach and Estuary,NA,NA,NA,NA,NA,facultative,TRUE
red_headed_woodpecker,Open Woodlands,NA,forest; woodland; shrub; savannah; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,NA,facultative,TRUE
red_knot,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative grassland,facultative,TRUE
red_necked_phalarope,Oceans,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Oceans:  Pelagic; Coasts:  Marine Waters,NA,NA,NA,NA,NA,facultative,TRUE
red_shouldered_hawk,Forests,NA,woodland; artificial; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Temperate Western,NA,NA,NA,facultative grassland,NA,facultative,TRUE
red_tailed_hawk,NA,NA,forest; woodland; shrub; savannah; grasslands; plains; desert; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,NA,facultative,TRUE
red_winged_blackbird,Marshes,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Freshwater Marsh,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
ring_necked_pheasant,Grasslands,NA,NA,NA,NA,Grasslands:  Temperate,NA,NA,NA,NA,facultative grassland,facultative,TRUE
roadside_hawk,NA,NA,forest; shrub; savannah; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
rock_ptarmigan,Tundra,NA,shrub; grasslands,NA,NA,Tundra:  Alpine; Tundra:  Arctic,NA,NA,NA,NA,grassland obligate,obligate,TRUE
rock_sandpiper,NA,NA,grasslands; riparian; coastal,NA,NA,Tundra:  Arctic; Wetlands:  Tundra; Coasts:  Rocky Intertidal,NA,NA,NA,NA,facultative grassland,facultative,TRUE
rosss_goose,NA,NA,shrub; rocky_areas; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
rough_legged_hawk,Grasslands,NA,NA,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,grassland obligate,obligate,TRUE
ruby_throated_hummingbird,Open Woodlands,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen,NA,NA,NA,facultative grassland,NA,facultative,TRUE
ruddy_breasted_seedeater,NA,NA,woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic; Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
ruddy_ground_dove,NA,NA,woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
ruddy_turnstone,Shorelines,NA,grasslands; rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Tundra; Wetlands:  Tundra; Coasts:  Beach and Estuary; Coasts:  Rocky Intertidal,NA,NA,NA,NA,NA,facultative,TRUE
rufous_collared_sparrow,NA,NA,shrub; grasslands; artificial,NA,NA,Open Country:  Developed/Disturbed; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,NA,facultative,TRUE
rufous_crowned_sparrow,Scrub,NA,woodland; shrub; grasslands; rocky_areas,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative grassland,facultative,TRUE
rufous_winged_sparrow,Scrub,NA,shrub; grasslands,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative grassland,facultative,TRUE
rusty_blackbird,Forests,NA,forest; woodland; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Forested; Forests:  Temperate Eastern,NA,NA,NA,NA,NA,facultative,TRUE
saffron_finch,NA,NA,woodland; shrub; savannah; artificial; riparian,NA,NA,Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,grassland obligate,obligate,TRUE
saltmarsh_sparrow,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh,NA,NA,NA,NA,NA,facultative,TRUE
sanderling,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative grassland,facultative,TRUE
sandhill_crane,Marshes,NA,shrub; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
savannah_sparrow,Grasslands,NA,shrub; grasslands; plains; artificial; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Saltmarsh,NA,NA,NA,NA,grassland obligate,obligate,TRUE
says_phoebe,Grasslands,NA,savannah; grasslands; artificial,NA,NA,Aridlands:  Desert Scrub; Forests:  Temperate Western; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
scaled_quail,Grasslands,NA,shrub; grasslands; desert,NA,NA,Grasslands:  Chihuahuan; Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative grassland,facultative,TRUE
scaly_breasted_munia,NA,NA,woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
scissor_tailed_flycatcher,Grasslands,NA,shrub; savannah; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Forests:  Tropical Dry; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative grassland,facultative,TRUE
sedge_wren,Grasslands,NA,grasslands; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,NA,grassland obligate,obligate,TRUE
semipalmated_sandpiper,NA,NA,shrub; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative grassland,facultative,TRUE
sharp_shinned_hawk,Forests,NA,forest; woodland; shrub; savannah,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,NA,facultative,TRUE
sharp_tailed_grouse,Grasslands,NA,forest; woodland; grasslands; desert; artificial,NA,NA,Grasslands:  Temperate; Forests:  Boreal,NA,NA,NA,NA,grassland obligate,obligate,TRUE
shiny_cowbird,NA,NA,shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
short_billed_dowitcher,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative grassland,facultative,TRUE
short_eared_owl,Grasslands,NA,forest; savannah; grasslands; plains; artificial; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Temperate; Coasts:  Saltmarsh,NA,NA,NA,facultative grassland,grassland obligate,obligate,TRUE
short_tailed_hawk,Forests,NA,forest; grasslands; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Forests:  Generalist,NA,NA,NA,NA,NA,facultative,TRUE
sierra_madre_sparrow,NA,NA,grasslands; artificial,NA,NA,Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
smiths_longspur,NA,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Temperate,NA,NA,NA,NA,grassland obligate,obligate,TRUE
smooth_billed_ani,Scrub,NA,woodland; shrub; grasslands; riparian,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
