effect_id,key,source_sheet,source_row,extraction_type,design,response_class,response_var,survival_scale,link,baseline_survival,beta_is_derived,treatment,control,species,sign,treatment_control_flag,response_flag,response_dir,notes,bmp,paper,species_group,analysis_class,species_include,xbar_e,xbar_c,n_e,n_c,sd_e,sd_c,se_e,se_c,lcl_e,lcl_c,ucl_e,ucl_c,df_e,df_c,model,test_statistic,test_stat_value,df,global_n,global_sd,global_se,global_lcl,global_ucl
tc_0012,MG5988E5,other_categorical,18,test_statistic,categorical,abundance,abundance,,,,,Post-nest box installation in managed forest plots,Pre-nest box installation in managed forest plots,great_tit,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,install_nest_boxes,Camprodon et al. 2008,species,facultative,TRUE,,,,,,,,,,,,,,,chi-square,chi_square,51.7,62,63,,,,
tc_0013,G6VR29X8,other_categorical,19,test_statistic,categorical,abundance,density,,,,,Organic farm,Conventional farm,all_species,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Danhardt et al. 2010,aggregate,,TRUE,,,12,12,,,,,,,,,,,GLMM,f,3.48,,24,,,,
tc_0014,XW7F4DWM,other_categorical,20,test_statistic,categorical,occupancy,Fraction of breeding boxes occupied by dominant species,,,,,Post-nest box removal,Pre-nest box removal,great_tit,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,install_nest_boxes,Fokkema et al. 2018,species,facultative,TRUE,,,121,1468,,,,,,,,,,,chi-square,chi_square,166.25,120,1589,,,,
tc_0015,JQQJHBMK,other_categorical,21,test_statistic,categorical,species_richness,species_richness,,,,,Organic farm,Conventional farm,all_species,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,aggregate,,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,7.49,,20,,,,
tc_0016,JQQJHBMK,other_categorical,22,test_statistic,categorical,abundance,total_abundance,,,,,Organic farm,Conventional farm,all_species,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,aggregate,,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,7.28,,20,,,,
tc_0017,JQQJHBMK,other_categorical,23,test_statistic,categorical,abundance,abundance of each species across sites,,,,,Organic farm,Conventional farm,all_species,1,apples,1,1,Not usable -- cannot convert rank test to effect size,eliminate_pesticides,Freemark and Kirk 2001,aggregate,,TRUE,,,10,10,,,,,,,,,,,Wilcoxon signed rank test,z,-2.247,,20,,,,
tc_0018,JQQJHBMK,other_categorical,24,test_statistic,categorical,occupancy,percentage of sites at which species occurred,,,,,Organic farm,Conventional farm,all_species,1,apples,1,1,Not usable -- cannot convert rank test to effect size,eliminate_pesticides,Freemark and Kirk 2001,aggregate,,TRUE,,,10,10,,,,,,,,,,,Wilcoxon signed rank test,z,-2.494,,20,,,,
tc_0019,JQQJHBMK,other_categorical,25,test_statistic,categorical,abundance,abundance,,,,,Organic farm,Conventional farm,killdeer,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,species,facultative,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,1.41,,20,,,,
tc_0020,JQQJHBMK,other_categorical,26,test_statistic,categorical,abundance,abundance,,,,,Organic farm,Conventional farm,eastern_kingbird,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,species,facultative,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,10.65,,20,,,,
tc_0021,JQQJHBMK,other_categorical,27,test_statistic,categorical,abundance,abundance,,,,,Organic farm,Conventional farm,horned_lark,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,species,obligate,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,2.04,,20,,,,
tc_0022,JQQJHBMK,other_categorical,28,test_statistic,categorical,abundance,abundance,,,,,Organic farm,Conventional farm,common_yellowthroat,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,species,facultative,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,1,,20,,,,
tc_0023,JQQJHBMK,other_categorical,29,test_statistic,categorical,abundance,abundance,,,,,Organic farm,Conventional farm,indigo_bunting,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,species,facultative,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,5.45,,20,,,,
tc_0024,JQQJHBMK,other_categorical,30,test_statistic,categorical,abundance,abundance,,,,,Organic farm,Conventional farm,savannah_sparrow,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Freemark and Kirk 2001,species,obligate,TRUE,,,10,10,,,,,,,,,,,chi-square,chi_square,0,,20,,,,
