species,species_group,article_classified,birdbase,birds_of_the_world,eubirds,hand_entered,partners_in_flight,peterjohn_2006,vickery_1999,analysis_class,include
black_currawong,species,NA,forest; shrub; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_drongo,species,NA,shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_eagle,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_eared_barbet,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_eared_catbird,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_eared_cuckoo,species,NA,forest; woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_eared_fairy,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_eared_ground_thrush,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_eared_hemispingus,species,NA,forest; bamboo; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_eared_miner,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_eared_seedeater,species,NA,woodland; artificial; coastal,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_eared_shrike_babbler,species,NA,forest; riparian,NA,NA,NA,NA,NA,NA,forest,FALSE
black_eared_sparrow_lark,species,NA,shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_eared_wheatear,species,NA,NA,NA,shrub; grassland; rocks,NA,NA,NA,NA,facultative,TRUE
black_eared_wood_quail,species,NA,forest,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,forest,FALSE
black_faced_antbird,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_faced_antthrush,species,NA,forest; woodland,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,woodland,FALSE
black_faced_apalis,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_babbler,species,NA,woodland; shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_faced_brushfinch,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_bunting,species,NA,forest; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_canary,species,NA,shrub; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_cormorant,species,NA,rocky_areas; coastal; pelagic,NA,NA,NA,NA,NA,NA,other,TRUE
black_faced_cotinga,species,NA,forest; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,forest,FALSE
black_faced_coucal,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_cuckooshrike,species,NA,forest; woodland; shrub; savannah; artificial; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_faced_dacnis,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_friarbird,species,NA,forest; woodland; artificial,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_faced_go_away_bird,species,NA,shrub; savannah; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_faced_grassquit,species,NA,woodland; shrub; grasslands; artificial,NA,NA,NA,NA,NA,facultative,facultative,TRUE
black_faced_grosbeak,species,NA,forest; shrub,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,shrub,FALSE
black_faced_hawk,species,NA,forest; riparian; coastal,NA,NA,NA,NA,NA,NA,forest,FALSE
black_faced_ibis,species,NA,forest; woodland; grasslands; rocky_areas; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,facultative,facultative,TRUE
black_faced_kingfisher,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_faced_laughingthrush,species,NA,shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_monarch,species,NA,forest; shrub; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_munia,species,NA,shrub; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_faced_pitta,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_rufous_warbler,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_sandgrouse,species,NA,shrub; savannah,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_faced_sheathbill,species,NA,grasslands; rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_faced_solitaire,species,NA,forest; bamboo; shrub; artificial; riparian,NA,NA,NA,Forests:  Tropical Montane Evergreen,NA,NA,shrub,FALSE
black_faced_spoonbill,species,NA,artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_faced_tanager,species,NA,shrub; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_warbler,species,NA,forest; bamboo; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_faced_waxbill,species,NA,forest; woodland; shrub; savannah; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_faced_woodswallow,species,NA,forest; woodland; shrub; savannah; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_falcon,species,NA,woodland; savannah; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_fantail,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_flowerpiercer,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_footed_albatross,species,NA,coastal; pelagic,NA,NA,NA,Islands:  Oceanic; Oceans:  Pelagic,NA,NA,other,TRUE
black_francolin,species,NA,bamboo; shrub; artificial; riparian; wetlands_lakes_marsh,NA,shrub; grassland,NA,NA,NA,NA,facultative,TRUE
black_fronted_brushfinch,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_fronted_bulbul,species,NA,woodland; shrub; savannah; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_fronted_bushshrike,species,NA,forest; shrub; rocky_areas; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_fronted_dotterel,species,NA,artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_fronted_fig_parrot,species,NA,forest; woodland; riparian,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_fronted_flowerpecker,species,NA,forest; woodland; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_fronted_ground_tyrant,species,NA,grasslands; rocky_areas,NA,NA,NA,NA,NA,facultative,facultative,TRUE
black_fronted_nunbird,species,NA,forest; bamboo; woodland; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_fronted_parakeet,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_fronted_piping_guan,species,NA,forest; shrub; riparian; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_fronted_spurfowl,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_fronted_tern,species,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_fronted_tyrannulet,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_fronted_white_eye,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_fronted_wood_quail,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_girdled_barbet,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_goggled_tanager,species,NA,forest; woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_grasswren,species,NA,grasslands; rocky_areas,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_grouse,species,NA,forest; shrub; grasslands; desert; artificial; wetlands_lakes_marsh,NA,deciduous_forest; coniferous_forest; woodland,NA,NA,NA,NA,facultative,TRUE
black_guan,species,NA,forest; shrub; rocky_areas,NA,NA,NA,Forests:  Tropical Montane Evergreen,NA,NA,shrub,FALSE
black_guillemot,species,NA,rocky_areas; coastal; pelagic,NA,marine,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters,NA,NA,other,TRUE
black_guineafowl,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_harrier,species,NA,shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_hawk_eagle,species,NA,forest; riparian,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,forest,FALSE
black_headed_antbird,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_headed_antthrush,species,NA,forest; woodland,NA,NA,NA,Forests:  Tropical Montane Evergreen,NA,NA,woodland,FALSE
black_headed_apalis,species,NA,forest; woodland; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_bee_eater,species,NA,forest; shrub; savannah; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_berryeater,species,NA,forest; woodland; coastal,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_headed_brushfinch,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_bulbul,species,NA,forest; woodland; artificial,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_headed_bunting,species,NA,woodland; shrub; artificial,NA,shrub,NA,NA,NA,NA,shrub,FALSE
black_headed_canary,species,NA,shrub; grasslands; rocky_areas; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_cuckooshrike,species,NA,forest; woodland; shrub; artificial; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_duck,species,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_gonolek,species,NA,woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_greenfinch,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_grosbeak,species,NA,forest; woodland; shrub; artificial; riparian,NA,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry,NA,NA,shrub,FALSE
black_headed_gull,species,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,swamps; freshwater; marine,NA,Wetlands:  Generalist; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,facultative,TRUE
black_headed_hemispingus,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_heron,species,NA,grasslands; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_honeyeater,species,NA,forest; woodland; shrub; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_ibis,species,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_headed_jay,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_kingfisher,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_headed_lapwing,species,NA,shrub; plains; desert; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_myzomela,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_headed_nightingale_thrush,species,NA,forest; woodland; shrub,NA,NA,NA,Forests:  Tropical Montane Evergreen,NA,NA,shrub,FALSE
black_headed_paradise_kingfisher,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_headed_parrot,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_parrotbill,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_penduline_tit,species,NA,riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_headed_rufous_warbler,species,NA,forest; shrub; grasslands; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_saltator,species,NA,forest; shrub; grasslands; artificial,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,facultative,TRUE
black_headed_shrike_babbler,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_sibia,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_headed_siskin,species,NA,forest; savannah,NA,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen,NA,NA,facultative,TRUE
black_headed_tailorbird,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_headed_tanager,species,NA,woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_headed_tody_flycatcher,species,NA,forest; woodland; shrub; artificial,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,shrub,FALSE
black_headed_trogon,species,NA,forest; woodland; shrub; grasslands; artificial; riparian; coastal,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,facultative,TRUE
black_headed_waxbill,species,NA,forest; shrub; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_weaver,species,NA,shrub; savannah; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_headed_whistler,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_headed_woodpecker,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_heron,species,NA,wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_honey_buzzard,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_honeyeater,species,NA,woodland; shrub; savannah; grasslands; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_hooded_antshrike,species,NA,forest; woodland; shrub; riparian; coastal,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,shrub,FALSE
black_hooded_antwren,species,NA,forest; woodland; shrub; artificial; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_hooded_coucal,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_hooded_laughingthrush,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_hooded_oriole,species,NA,forest; woodland; shrub; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_hooded_sierra_finch,species,NA,forest; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_hooded_sunbeam,species,NA,forest; shrub; rocky_areas,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_hooded_tanager,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_hooded_thrush,species,NA,forest; woodland; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_hornbill,species,NA,forest; riparian; coastal,NA,NA,NA,NA,NA,NA,forest,FALSE
black_inca,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_jacobin,species,NA,woodland; artificial,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_kite,species,NA,woodland; savannah; grasslands; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,deciduous_forest; coniferous_forest; grassland; swamps; freshwater; human_settlements,NA,NA,NA,NA,facultative,TRUE
black_lark,species,NA,grasslands; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_legged_dacnis,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_legged_kittiwake,species,NA,rocky_areas; coastal; pelagic,NA,marine; rocks,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic,NA,NA,other,TRUE
black_legged_parrot,species,NA,forest; riparian,NA,NA,NA,NA,NA,NA,forest,FALSE
black_legged_seriema,species,NA,forest; woodland; savannah,NA,NA,NA,NA,NA,facultative,facultative,TRUE
black_lored_babbler,species,NA,woodland; shrub; savannah; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_lored_cisticola,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_lored_parrot,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_lored_tit,species,NA,forest; woodland; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_lored_waxbill,species,NA,grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_lored_yellowthroat,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_lory,species,NA,forest; woodland; savannah; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_mamo,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_manakin,species,NA,forest; woodland; riparian,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_mannikin,species,NA,savannah; grasslands; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_mantled_goshawk,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_masked_finch,species,NA,shrub; grasslands,NA,NA,NA,NA,NA,obligate,obligate,TRUE
black_metaltail,species,NA,woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_monarch,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_naped_fruit_dove,species,NA,forest; shrub; artificial; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_naped_monarch,species,NA,forest; bamboo; woodland; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_naped_oriole,species,NA,forest; woodland; shrub; artificial; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_naped_pheasant_pigeon,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_naped_tern,species,NA,rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_naped_woodpecker,species,NA,forest; bamboo,NA,NA,NA,NA,NA,NA,forest,FALSE
black_necked_araçari,species,NA,forest; woodland; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_necked_crane,species,NA,artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_necked_eremomela,species,NA,woodland; savannah,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_necked_grebe,species,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,freshwater,NA,NA,NA,NA,other,TRUE
black_necked_red_cotinga,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_necked_stilt,species,NA,wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,other,TRUE
black_necked_stork,species,NA,shrub; grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_necked_swan,species,NA,rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_necked_wattle_eye,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_necked_weaver,species,NA,forest; woodland; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_necked_woodpecker,species,NA,forest; woodland; shrub; desert; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_necklaced_honeyeater,species,NA,forest; woodland; shrub; artificial; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_necklaced_scimitar_babbler,species,NA,forest; shrub; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_nest_swiftlet,species,NA,forest; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,forest,FALSE
black_noddy,species,NA,coastal; pelagic,NA,NA,NA,Islands:  Oceanic; Oceans:  Pelagic,NA,NA,other,TRUE
black_nunbird,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_oriole,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_oropendola,species,NA,forest; riparian,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,forest,FALSE
black_oystercatcher,species,NA,NA,NA,NA,NA,Coasts:  Rocky Intertidal,NA,NA,other,TRUE
black_parrot,species,NA,forest; woodland; savannah; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_partridge,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_petrel,species,NA,forest; pelagic,NA,NA,NA,NA,NA,NA,forest,FALSE
black_phoebe,species,NA,artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Generalist,NA,NA,other,TRUE
black_pitohui,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_polled_yellowthroat,species,NA,wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Freshwater Marsh,NA,NA,other,TRUE
black_rail,species,NA,savannah; wetlands_lakes_marsh,NA,NA,NA,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh,NA,NA,facultative,TRUE
black_redstart,species,NA,shrub; savannah; rocky_areas; artificial; riparian,NA,rocks; human_settlements,NA,NA,NA,NA,facultative,TRUE
black_ringed_white_eye,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_robin,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_rosy_finch,species,NA,grasslands; rocky_areas; artificial; riparian; coastal,NA,NA,NA,Tundra:  Alpine; Aridlands:  Sagebrush,NA,facultative,facultative,TRUE
black_rumped_buttonquail,species,NA,shrub; savannah; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_rumped_flameback,species,NA,forest; woodland; savannah; artificial; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_rumped_magpie,species,NA,shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_rumped_waxbill,species,NA,shrub; grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_saw_wing,species,NA,forest; woodland; shrub; savannah; grasslands; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_scimitarbill,species,NA,woodland; savannah,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_scoter,species,NA,grasslands; wetlands_lakes_marsh,NA,tundra; freshwater,NA,Wetlands:  Tundra; Coasts:  Marine Waters,NA,NA,facultative,TRUE
black_scrub_robin,species,NA,shrub; savannah; plains; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_seedeater,species,NA,shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_shama,species,NA,forest; bamboo; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_shouldered_cicadabird,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_shouldered_kite,species,NA,shrub; savannah; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_shouldered_lapwing,species,NA,artificial; coastal,NA,NA,NA,NA,NA,NA,other,TRUE
black_sicklebill,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_sided_flowerpecker,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_sided_robin,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_siskin,species,NA,woodland; shrub; grasslands; rocky_areas; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_sittella,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_skimmer,species,NA,coastal; wetlands_lakes_marsh,NA,NA,NA,Coasts:  Beach and Estuary; Coasts:  Saltmarsh,NA,NA,other,TRUE
black_solitaire,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_solitary_eagle,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_sparrowhawk,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_spectacled_brushfinch,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_spinetail,species,NA,forest; rocky_areas; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
black_spotted_barbet,species,NA,forest; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_spotted_bare_eye,species,NA,forest; woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_spotted_piculet,species,NA,forest; shrub; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_stilt,species,NA,riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_stork,species,NA,woodland; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,deciduous_forest; swamps,NA,NA,NA,NA,facultative,TRUE
black_storm_petrel,species,NA,rocky_areas; pelagic,NA,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic,NA,NA,other,TRUE
black_streaked_puffbird,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
black_streaked_scimitar_babbler,species,NA,forest; bamboo; shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_striped_sparrow,species,NA,woodland; shrub; artificial,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,shrub,FALSE
black_striped_woodcreeper,species,NA,forest; artificial; coastal,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,forest,FALSE
black_sunbird,species,NA,forest; shrub; artificial; riparian; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_swan,species,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
black_swift,species,NA,rocky_areas; riparian; wetlands_lakes_marsh,NA,NA,NA,Forest Aerial:  Temperate Western; Forests Aerial:  Mesoamerican Highland; Forest Aerial:  Tropical Generalist,NA,NA,forest,FALSE
black_tailed_antbird,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_tailed_cacique,species,NA,forest; shrub; savannah; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_tailed_cisticola,species,NA,woodland; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_tailed_crake,species,NA,forest; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_tailed_flycatcher,species,NA,forest; woodland; riparian; coastal,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,woodland,FALSE
black_tailed_gnatcatcher,species,NA,shrub; riparian,NA,NA,NA,Aridlands:  Desert Scrub,NA,NA,shrub,FALSE
black_tailed_godwit,species,NA,plains; artificial; coastal; wetlands_lakes_marsh,NA,grassland; swamps,NA,NA,NA,NA,facultative,TRUE
black_tailed_gull,species,NA,rocky_areas; coastal,NA,NA,NA,NA,NA,NA,other,TRUE
black_tailed_leaftosser,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_tailed_monarch,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
black_tailed_native_hen,species,NA,shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_tailed_trainbearer,species,NA,forest; shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
black_tailed_treecreeper,species,NA,forest; woodland; shrub; rocky_areas; riparian; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
black_tailed_trogon,species,NA,forest; woodland; shrub; riparian; coastal,NA,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,shrub,FALSE
