species,species_group,article_classified,birdbase,birds_of_the_world,eubirds,hand_entered,partners_in_flight,peterjohn_2006,vickery_1999,analysis_class,include
african_firefinch,species,NA,forest; woodland; shrub; savannah; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_fish_eagle,species,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_forest_flycatcher,species,NA,forest; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
african_golden_oriole,species,NA,forest; woodland; savannah; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_golden_weaver,species,NA,woodland; savannah; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_goshawk,species,NA,forest; woodland; savannah; artificial; riparian; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_grass_owl,species,NA,woodland; grasslands; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_green_bee_eater,species,NA,woodland; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,woodland,FALSE
african_green_pigeon,species,NA,forest; woodland; savannah; riparian; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_grey_flycatcher,species,NA,woodland; shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_grey_hornbill,species,NA,forest; woodland; savannah; grasslands; desert,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_harrier_hawk,species,NA,forest; woodland; savannah,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_hawk_eagle,species,NA,woodland; savannah; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_hill_babbler,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
african_hobby,species,NA,forest; woodland; savannah,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_houbara,species,NA,grasslands; plains; desert; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_jacana,species,NA,riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_marsh_harrier,species,NA,grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_olive_pigeon,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
african_openbill,species,NA,forest; savannah; grasslands; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_oystercatcher,species,NA,coastal,NA,NA,NA,NA,NA,NA,other,TRUE
african_palm_swift,species,NA,forest; woodland; savannah; grasslands; riparian; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_paradise_flycatcher,species,NA,forest; woodland; shrub; savannah; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_penguin,species,NA,coastal; pelagic,NA,NA,NA,NA,NA,NA,other,TRUE
african_piculet,species,NA,forest; riparian,NA,NA,NA,NA,NA,NA,forest,FALSE
african_pied_starling,species,NA,grasslands; artificial; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_pied_wagtail,species,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_pipit,species,NA,grasslands; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_pitta,species,NA,forest; shrub; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
african_plain_martin,species,NA,shrub; grasslands; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_pygmy_falcon,species,NA,grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_pygmy_goose,species,NA,riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_pygmy_kingfisher,species,NA,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_quailfinch,species,NA,grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_rail,species,NA,grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_red_rumped_swallow,species,NA,forest; grasslands; plains; rocky_areas; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_river_martin,species,NA,grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_sacred_ibis,species,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_scops_owl,species,NA,woodland; shrub; savannah; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_shrike_flycatcher,species,NA,forest; woodland; artificial; riparian,NA,NA,NA,NA,NA,NA,woodland,FALSE
african_silverbill,species,NA,woodland; shrub; savannah; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_skimmer,species,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_snipe,species,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_spoonbill,species,NA,coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_spotted_creeper,species,NA,woodland; savannah; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_stonechat,species,NA,woodland; shrub; grasslands; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_swamphen,species,NA,artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_swift,species,NA,rocky_areas,NA,NA,NA,NA,NA,NA,other,TRUE
african_three_banded_plover,species,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
african_thrush,species,NA,forest; woodland; shrub; savannah; artificial; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_wood_owl,species,NA,forest; woodland; riparian; coastal,NA,NA,NA,NA,NA,NA,woodland,FALSE
african_woollyneck,species,NA,woodland; savannah; grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_yellow_warbler,species,NA,forest; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_yellow_white_eye,species,NA,forest; woodland; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
agami_heron,species,NA,forest; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Forested; Forests:  Tropical Lowland Evergreen,NA,NA,forest,FALSE
agile_tit_tyrant,species,NA,forest; bamboo; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
aguijan_reed_warbler,species,NA,forest; shrub; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
agulhas_long_billed_lark,species,NA,shrub; artificial; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
ahanta_spurfowl,species,NA,forest; shrub; artificial; riparian; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
ainleys_storm_petrel,species,NA,rocky_areas; pelagic,NA,NA,NA,Islands:  Oceanic; Coasts:  Marine Waters; Oceans:  Pelagic,NA,NA,other,TRUE
akekee,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
akiapolaau,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
