es_id,key,paper,source_sheet,bmp,treatment,control,response_var,species,species_key,species_group,analysis_class,response_metric,response_scale,survival_scale,link,baseline_survival,beta_is_derived,notes,conversion,effect_metric,xbar_e,xbar_c,yi,sei,n_total,label_type,guild,fire_excluded_original,non_grassland_class,in_primary_pool
md_0188,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,eastern_bluebird,eastern_bluebird,species,facultative,abundance,count,,,,,,two group means,hedges_g,0.1,0.14,-0.1314125356558223,0.5010199095234766,14,species,facultative_grassland,FALSE,FALSE,TRUE
md_0190,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,western_bluebird,western_bluebird,species,facultative,abundance,count,,,,,,two group means,hedges_g,0.05,0.29,-0.6428643232812871,0.5149407690040662,14,species,facultative_grassland,FALSE,FALSE,TRUE
md_0191,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,western_bluebird,western_bluebird,species,facultative,abundance,count,,,,,,two group means,hedges_g,0,0.07,-0.5004040274104966,0.5092614234924194,14,species,facultative_grassland,FALSE,FALSE,TRUE
md_0192,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,mountain_bluebird,mountain_bluebird,species,facultative,abundance,count,,,,,,two group means,hedges_g,0,0.33,-0.8691227844498101,0.5266705310795036,14,species,facultative_grassland,FALSE,FALSE,TRUE
md_0194,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,northern_mockingbird,northern_mockingbird,species,facultative,abundance,count,,,,,,two group means,hedges_g,0.14,0.14,0,0.5004040274104967,14,species,facultative_grassland,FALSE,FALSE,TRUE
md_0195,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,northern_mockingbird,northern_mockingbird,species,facultative,abundance,count,,,,,,two group means,hedges_g,0.07,0.21,-0.3750041885807508,0.5053974913589999,14,species,facultative_grassland,FALSE,FALSE,TRUE
md_0196,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,curve_billed_thrasher,curve_billed_thrasher,species,shrub,abundance,count,,,,,,two group means,hedges_g,0.05,0.1,-0.22378748430090775,0.5021880046460899,14,species,,FALSE,TRUE,FALSE
md_0197,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,curve_billed_thrasher,curve_billed_thrasher,species,shrub,abundance,count,,,,,,two group means,hedges_g,0,0.07,-0.5004040274104966,0.5092614234924194,14,species,,FALSE,TRUE,FALSE
md_0198,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,cedar_waxwing,cedar_waxwing,species,shrub,abundance,count,,,,,,two group means,hedges_g,0.48,0,0.5004040274104967,0.5092614234924194,14,species,,FALSE,TRUE,FALSE
md_0200,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,phainopepla,phainopepla,species,shrub,abundance,count,,,,,,two group means,hedges_g,0.47,0.48,-0.01410848808794546,0.5004111305287666,14,species,,FALSE,TRUE,FALSE
md_0201,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,phainopepla,phainopepla,species,shrub,abundance,count,,,,,,two group means,hedges_g,0.11,0.14,-0.096501567576824,0.5007362397619718,14,species,,FALSE,TRUE,FALSE
