es_id,key,paper,region,source_sheet,bmp,treatment,control,response_var,species,species_key,species_group,analysis_class,response_metric,response_scale,survival_scale,link,baseline_survival,beta_is_derived,notes,species_include,treatment_control_flag,response_flag,sign,conversion,effect_metric,xbar_e,xbar_c,yi,sei,n_total
md_0001,ECNPR7UT,Adams et al. 2013,southeast_us,mean_diff,prescribed_fire,2-year post-burn field,Control field,nest density,dickcissel,dickcissel,species,obligate,abundance,count,,,,,"nest_success was also evaluated, but I do not think in a usable way",TRUE,apples,0,1,two group means,hedges_g,0.75,0.77,-0.016249236346619872,0.47122589742234583,36
md_0002,ECNPR7UT,Adams et al. 2013,southeast_us,mean_diff,prescribed_fire,2-year post-burn field,Control field,nest density,red_winged_blackbird,red_winged_blackbird,species,facultative,abundance,count,,,,,"nest_success was also evaluated, but I do not think in a usable way",TRUE,apples,0,1,two group means,hedges_g,0.92,1.06,-0.0688816604734268,0.471291923958545,36
md_0003,ECNPR7UT,Adams et al. 2013,southeast_us,mean_diff,prescribed_fire,1-year post-burn field,Control field,nest density,dickcissel,dickcissel,species,obligate,abundance,count,,,,,"nest_success was also evaluated, but I do not think in a usable way",TRUE,apples,0,1,two group means,hedges_g,0.27,0.53,-0.3340982715399016,0.4728641242217436,36
md_0004,ECNPR7UT,Adams et al. 2013,southeast_us,mean_diff,prescribed_fire,1-year post-burn field,Control field,nest density,red_winged_blackbird,red_winged_blackbird,species,facultative,abundance,count,,,,,"nest_success was also evaluated, but I do not think in a usable way",TRUE,apples,0,1,two group means,hedges_g,2.39,1.04,0.571098776284743,0.4760042996348139,36
md_0005,N87HY4T4,Allen et al. 2019,other,mean_diff,manage_in_patches,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2014,bobolink,bobolink,species,obligate,abundance,count,,,,,Pretty cool way to test the manage_in_patches idea!,TRUE,apples,0,1,two group means,hedges_g,9.72,0.07,2.3750243479878126,0.779976778918971,10
md_0006,N87HY4T4,Allen et al. 2019,other,mean_diff,manage_in_patches,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2015,bobolink,bobolink,species,obligate,abundance,count,,,,,Pretty cool way to test the manage_in_patches idea!,TRUE,apples,0,1,two group means,hedges_g,3.57,0,0.9312160109307147,0.6080171921309069,10
md_0007,N87HY4T4,Allen et al. 2019,other,mean_diff,manage_in_patches,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2016,bobolink,bobolink,species,obligate,abundance,count,,,,,Pretty cool way to test the manage_in_patches idea!,TRUE,apples,0,1,two group means,hedges_g,6.17,0.15,0.6986440676229769,0.5922262402471757,10
md_0008,N87HY4T4,Allen et al. 2019,other,mean_diff,manage_in_patches,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2014,grasshopper_sparrow,grasshopper_sparrow,species,obligate,abundance,count,,,,,Pretty cool way to test the manage_in_patches idea!,TRUE,apples,0,1,two group means,hedges_g,1.61,0.08,1.2765092391075887,0.6385926204180709,10
md_0009,N87HY4T4,Allen et al. 2019,other,mean_diff,manage_in_patches,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2015,grasshopper_sparrow,grasshopper_sparrow,species,obligate,abundance,count,,,,,Pretty cool way to test the manage_in_patches idea!,TRUE,apples,0,1,two group means,hedges_g,7.08,0.36,1.6080096745203583,0.674989998921184,10
md_0010,N87HY4T4,Allen et al. 2019,other,mean_diff,manage_in_patches,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2016,grasshopper_sparrow,grasshopper_sparrow,species,obligate,abundance,count,,,,,Pretty cool way to test the manage_in_patches idea!,TRUE,apples,0,1,two group means,hedges_g,5.3,0.6,1.6596722393438552,0.6812138724941668,10
