common_name,habitat
acorn woodpecker,Open Woodlands
gila woodpecker,Deserts
golden-fronted woodpecker,Open Woodlands
red-bellied woodpecker,Forests
williamsons sapsucker,Forests
yellow-bellied sapsucker,Forests
red-naped sapsucker,Forests
red-breasted sapsucker,Forests
american three-toed woodpecker,Forests
black-backed woodpecker,Forests
downy woodpecker,Forests
nuttalls woodpecker,Open Woodlands
ladder-backed woodpecker,Deserts
red-cockaded woodpecker,Open Woodlands
hairy woodpecker,Forests
white-headed woodpecker,Forests
arizona woodpecker,Open Woodlands
gilded flicker,Deserts
pileated woodpecker,Forests
crested caracara,Scrub
american kestrel,Grasslands
merlin,Forests
gyrfalcon,Tundra
peregrine falcon,Shorelines
prairie falcon,Grasslands
monk parakeet,Forests
northern beardless-tyrannulet,Rivers and Streams
dusky-capped flycatcher,Forests
ash-throated flycatcher,Open Woodlands
great crested flycatcher,Open Woodlands
brown-crested flycatcher,Forests
great kiskadee,Open Woodlands
sulphur-bellied flycatcher,Forests
couchs kingbird,Open Woodlands
cassins kingbird,Open Woodlands
thick-billed kingbird,Open Woodlands
western kingbird,Grasslands
eastern kingbird,Grasslands
gray kingbird,Open Woodlands
scissor-tailed flycatcher,Grasslands
olive-sided flycatcher,Open Woodlands
greater pewee,Open Woodlands
western wood-pewee,Open Woodlands
eastern wood-pewee,Forests
yellow-bellied flycatcher,Forests
acadian flycatcher,Forests
least flycatcher,Forests
hammonds flycatcher,Forests
gray flycatcher,Open Woodlands
dusky flycatcher,Open Woodlands
black phoebe,Open Woodlands
eastern phoebe,Open Woodlands
says phoebe,Grasslands
vermilion flycatcher,Grasslands
loggerhead shrike,Open Woodlands
northern shrike,Open Woodlands
black-capped vireo,Scrub
white-eyed vireo,Scrub
bells vireo,Scrub
gray vireo,Scrub
huttons vireo,Forests
yellow-throated vireo,Open Woodlands
cassins vireo,Forests
blue-headed vireo,Forests
plumbeous vireo,Forests
philadelphia vireo,Forests
warbling vireo,Open Woodlands
red-eyed vireo,Forests
black-whiskered vireo,Forests
canada jay,Forests
green jay,Open Woodlands
pinyon jay,Open Woodlands
stellers jay,Forests
blue jay,Forests
florida scrub-jay,Scrub
mexican jay,Open Woodlands
clarks nutcracker,Forests
black-billed magpie,Open Woodlands
yellow-billed magpie,Open Woodlands
american crow,Open Woodlands
fish crow,Shorelines
chihuahuan raven,Scrub
common raven,Forests
horned lark,Grasslands
purple martin,Lakes and Ponds
tree swallow,Lakes and Ponds
violet-green swallow,Open Woodlands
northern rough-winged swallow,Rivers and Streams
bank swallow,Lakes and Ponds
cliff swallow,Lakes and Ponds
cave swallow,Grasslands
barn swallow,Grasslands
carolina chickadee,Forests
black-capped chickadee,Forests
mountain chickadee,Forests
chestnut-backed chickadee,Forests
boreal chickadee,Forests
bridled titmouse,Forests
oak titmouse,Open Woodlands
juniper titmouse,Open Woodlands
tufted titmouse,Forests
black-crested titmouse,Forests
verdin,Scrub
bushtit,Scrub
red-breasted nuthatch,Forests
white-breasted nuthatch,Forests
pygmy nuthatch,Forests
brown-headed nuthatch,Forests
brown creeper,Forests
rock wren,Deserts
canyon wren,Deserts
house wren,Scrub
pacific wren,Forests
winter wren,Forests
sedge wren,Grasslands
marsh wren,Marshes
carolina wren,Open Woodlands
bewicks wren,Open Woodlands
cactus wren,Deserts
blue-gray gnatcatcher,Forests
california gnatcatcher,Scrub
black-tailed gnatcatcher,Scrub
american dipper,Rivers and Streams
golden-crowned kinglet,Forests
ruby-crowned kinglet,Forests
arctic warbler,Forests
wrentit,Scrub
bluethroat,Tundra
northern wheatear,Tundra
eastern bluebird,Grasslands
western bluebird,Open Woodlands
mountain bluebird,Open Woodlands
townsends solitaire,Open Woodlands
veery,Forests
gray-cheeked thrush,Forests
bicknells thrush,Forests
swainsons thrush,Forests
hermit thrush,Open Woodlands
wood thrush,Forests
american robin,Open Woodlands
varied thrush,Forests
gray catbird,Open Woodlands
curve-billed thrasher,Scrub
brown thrasher,Scrub
long-billed thrasher,Scrub
bendires thrasher,Deserts
california thrasher,Scrub
lecontes thrasher,Scrub
crissal thrasher,Scrub
sage thrasher,Scrub
northern mockingbird,Towns
european starling,Towns
bohemian waxwing,Forests
cedar waxwing,Open Woodlands
phainopepla,Scrub
olive warbler,Forests
house sparrow,Towns
eurasian tree sparrow,Towns
eastern yellow wagtail,Tundra
american pipit,Tundra
spragues pipit,Grasslands
evening grosbeak,Forests
pine grosbeak,Open Woodlands
house finch,Towns
purple finch,Forests
cassins finch,Forests
common redpoll,Open Woodlands
hoary redpoll,Open Woodlands
red crossbill,Forests
white-winged crossbill,Forests
pine siskin,Open Woodlands
lesser goldfinch,Open Woodlands
lawrences goldfinch,Open Woodlands
american goldfinch,Open Woodlands
lapland longspur,Grasslands
chestnut-collared longspur,Grasslands
mccowns longspur,Grasslands
olive sparrow,Scrub
green-tailed towhee,Scrub
spotted towhee,Scrub
eastern towhee,Scrub
rufous-crowned sparrow,Scrub
canyon towhee,Scrub
california towhee,Scrub
aberts towhee,Deserts
rufous-winged sparrow,Scrub
botteris sparrow,Grasslands
cassins sparrow,Grasslands
bachmans sparrow,Open Woodlands
american tree sparrow,Open Woodlands
