species,habitat
black_tailed_trogon,Forests:  Tropical Lowland Evergreen
black_headed_trogon,Forests:  Tropical Lowland Evergreen
citreoline_trogon,Forests:  Tropical Dry
white_tailed_trogon,Forests:  Tropical Lowland Evergreen
bairds_trogon,Forests:  Tropical Lowland Evergreen
gartered_trogon,Forests:  Tropical Lowland Evergreen
black_throated_trogon,Forests:  Tropical Lowland Evergreen
elegant_trogon,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry
mountain_trogon,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
collared_trogon,Forests:  Tropical Lowland Evergreen
eared_quetzal,Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak
golden_headed_quetzal,Forests:  Tropical Montane Evergreen
resplendent_quetzal,Forests:  Tropical Montane Evergreen
tody_motmot,Forests:  Tropical Lowland Evergreen
blue_throated_motmot,Forests:  Tropical Montane Evergreen
russet_crowned_motmot,Forests:  Tropical Dry
amazon_kingfisher,Wetlands:  Generalist
american_pygmy_kingfisher,Wetlands:  Forested; Forests:  Tropical Lowland Evergreen
green_kingfisher,Wetlands:  Generalist
green_and_rufous_kingfisher,Wetlands:  Forested; Forests:  Tropical Lowland Evergreen
barred_puffbird,Forests:  Tropical Lowland Evergreen
white_necked_puffbird,Forests:  Tropical Lowland Evergreen
black_breasted_puffbird,Forests:  Tropical Lowland Evergreen
pied_puffbird,Forests:  Tropical Lowland Evergreen
white_whiskered_puffbird,Forests:  Tropical Lowland Evergreen
lanceolated_monklet,Forests:  Tropical Montane Evergreen
gray_cheeked_nunlet,Forests:  Tropical Lowland Evergreen
white_fronted_nunbird,Forests:  Tropical Lowland Evergreen
dusky_backed_jacamar,Forests:  Tropical Lowland Evergreen
rufous_tailed_jacamar,Forests:  Tropical Lowland Evergreen
great_jacamar,Forests:  Tropical Lowland Evergreen
spot_crowned_barbet,Forests:  Tropical Lowland Evergreen
red_headed_barbet,Forests:  Tropical Montane Evergreen
prong_billed_barbet,Forests:  Tropical Montane Evergreen
northern_emerald_toucanet,Forests:  Tropical Montane Evergreen
collared_aracari,Forests:  Tropical Lowland Evergreen
fiery_billed_aracari,Forests:  Tropical Lowland Evergreen
yellow_eared_toucanet,Forests:  Tropical Lowland Evergreen
keel_billed_toucan,Forests:  Tropical Lowland Evergreen
yellow_throated_toucan,Forests:  Tropical Montane Evergreen
olivaceous_piculet,Forests:  Tropical Lowland Evergreen
lewiss_woodpecker,Forests:  Temperate Western
red_headed_woodpecker,Forests:  Temperate Eastern
acorn_woodpecker,Forests:  Mesoamerican Pine-Oak; Forests:  Temperate Western
golden_naped_woodpecker,Forests:  Tropical Lowland Evergreen
black_cheeked_woodpecker,Forests:  Tropical Lowland Evergreen
golden_cheeked_woodpecker,Forests:  Tropical Dry
gray_breasted_woodpecker,Forests:  Tropical Dry
yucatan_woodpecker,Forests:  Tropical Dry
red_crowned_woodpecker,Forests:  Tropical Lowland Evergreen
gila_woodpecker,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian
hoffmanns_woodpecker,Forests:  Tropical Dry
golden_fronted_woodpecker,Forests:  Tropical Dry
red_bellied_woodpecker,Forests:  Temperate Eastern
williamsons_sapsucker,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak
yellow_bellied_sapsucker,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Temperate Generalist
red_naped_sapsucker,Forests:  Temperate Western; Aridlands:  Desert Riparian
red_breasted_sapsucker,Forests:  Temperate Western
american_three_toed_woodpecker,Forests:  Boreal; Forests:  Temperate Western
black_backed_woodpecker,Forests:  Boreal; Forests:  Temperate Western
downy_woodpecker,Forests:  Temperate Generalist
nuttalls_woodpecker,Forests:  Temperate Western
ladder_backed_woodpecker,Aridlands:  Desert Scrub; Forests:  Tropical Dry
red_cockaded_woodpecker,Forests:  Temperate Eastern
hairy_woodpecker,Forests:  Generalist
white_headed_woodpecker,Forests:  Temperate Western
smoky_brown_woodpecker,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Montane Evergreen
arizona_woodpecker,Forests:  Mesoamerican Pine-Oak
gyrfalcon,Tundra:  Arctic; Open Country:  Habitat Mosaic
peregrine_falcon,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
prairie_falcon,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub; Grasslands:  Temperate
painted_parakeet,Forests:  Tropical Lowland Evergreen
sulphur_winged_parakeet,Forests:  Tropical Montane Evergreen
monk_parakeet,Open Country:  Developed/Disturbed
olive_throated_parakeet,Forests:  Tropical Lowland Evergreen
orange_fronted_parakeet,Forests:  Tropical Dry
brown_throated_parakeet,Forests:  Tropical Dry
blue_and_yellow_macaw,Forests:  Tropical Lowland Evergreen
chestnut_fronted_macaw,Forests:  Tropical Lowland Evergreen
scarlet_macaw,Forests:  Tropical Lowland Evergreen
red_and_green_macaw,Forests:  Tropical Lowland Evergreen
military_macaw,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
great_green_macaw,Forests:  Tropical Lowland Evergreen
green_parakeet,Forests:  Tropical Dry
socorro_parakeet,Islands:  Terrestrial Habitats
pacific_parakeet,Forests:  Tropical Dry
crimson_fronted_parakeet,Forests:  Tropical Lowland Evergreen
thick_billed_parrot,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
maroon_fronted_parrot,Forests:  Mesoamerican Pine-Oak
barred_parakeet,Forests:  Tropical Montane Evergreen
mexican_parrotlet,Forests:  Tropical Dry
spectacled_parrotlet,Forests:  Tropical Dry
orange_chinned_parakeet,Forests:  Tropical Dry
red_fronted_parrotlet,Forests:  Tropical Montane Evergreen
blue_fronted_parrotlet,Forests:  Tropical Montane Evergreen
brown_hooded_parrot,Forests:  Tropical Lowland Evergreen
saffron_headed_parrot,Forests:  Tropical Lowland Evergreen
blue_headed_parrot,Forests:  Tropical Lowland Evergreen
white_crowned_parrot,Forests:  Tropical Lowland Evergreen
white_fronted_parrot,Forests:  Tropical Dry
yellow_lored_parrot,Forests:  Tropical Dry
red_crowned_parrot,Forests:  Tropical Dry
lilac_crowned_parrot,Forests:  Tropical Dry
red_lored_parrot,Forests:  Tropical Lowland Evergreen
mealy_parrot,Forests:  Tropical Lowland Evergreen
yellow_headed_parrot,Forests:  Tropical Dry
yellow_naped_parrot,Forests:  Tropical Dry
yellow_crowned_parrot,Forests:  Tropical Lowland Evergreen
sapayoa,Forests:  Tropical Lowland Evergreen
lance_tailed_manakin,Forests:  Tropical Dry
long_tailed_manakin,Forests:  Tropical Dry
white_ruffed_manakin,Forests:  Tropical Lowland Evergreen
green_manakin,Forests:  Tropical Lowland Evergreen
blue_crowned_manakin,Forests:  Tropical Lowland Evergreen
white_collared_manakin,Forests:  Tropical Lowland Evergreen
orange_collared_manakin,Forests:  Tropical Lowland Evergreen
golden_collared_manakin,Forests:  Tropical Lowland Evergreen
white_crowned_manakin,Forests:  Tropical Lowland Evergreen
red_capped_manakin,Forests:  Tropical Lowland Evergreen
golden_headed_manakin,Forests:  Tropical Lowland Evergreen
purple_throated_fruitcrow,Forests:  Tropical Lowland Evergreen
one_colored_becard,Forests:  Tropical Lowland Evergreen
sharpbill,Forests:  Tropical Montane Evergreen
royal_flycatcher,Forests:  Tropical Lowland Evergreen
ruddy_tailed_flycatcher,Forests:  Tropical Lowland Evergreen
tawny_breasted_flycatcher,Forests:  Tropical Montane Evergreen
sulphur_rumped_flycatcher,Forests:  Tropical Lowland Evergreen
black_tailed_flycatcher,Forests:  Tropical Lowland Evergreen
gray_headed_piprites,Forests:  Tropical Lowland Evergreen
stub_tailed_spadebill,Forests:  Tropical Lowland Evergreen
white_throated_spadebill,Forests:  Tropical Montane Evergreen
golden_crowned_spadebill,Forests:  Tropical Lowland Evergreen
olive_striped_flycatcher,Forests:  Tropical Lowland Evergreen
social_flycatcher,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
gray_capped_flycatcher,Open Country:  Habitat Mosaic
white_ringed_flycatcher,Forests:  Tropical Lowland Evergreen
golden_bellied_flycatcher,Forests:  Tropical Montane Evergreen
golden_crowned_flycatcher,Forests:  Tropical Montane Evergreen
streaked_flycatcher,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
sulphur_bellied_flycatcher,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Lowland Evergreen
piratic_flycatcher,Open Country:  Habitat Mosaic; Forests:  Tropical Lowland Evergreen
tropical_kingbird,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
couchs_kingbird,Open Country:  Habitat Mosaic
cassins_kingbird,Open Country:  Habitat Mosaic
thick_billed_kingbird,Forests:  Tropical Dry
western_kingbird,Grasslands:  Temperate; Aridlands:  Desert Scrub; Open Country:  Habitat Mosaic
eastern_kingbird,Open Country:  Habitat Mosaic; Grasslands:  Temperate; Forests:  Tropical Lowland Evergreen
gray_kingbird,Coasts:  Mangroves; Islands:  Terrestrial Habitats; Forests:  Tropical Dry
scissor_tailed_flycatcher,Grasslands:  Temperate; Forests:  Tropical Dry; Open Country:  Developed/Disturbed
fork_tailed_flycatcher,Grasslands:  Tropical
bran_colored_flycatcher,Open Country:  Habitat Mosaic
tawny_chested_flycatcher,Forests:  Tropical Lowland Evergreen
black_billed_flycatcher,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
stellers_eider,Wetlands:  Tundra; Coasts:  Marine Waters
spectacled_eider,Wetlands:  Tundra; Coasts:  Tundra; Oceans:  Arctic Polynyas
king_eider,Wetlands:  Tundra; Coasts:  Tundra; Coasts:  Marine Waters
common_eider,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Rocky Intertidal
hooded_merganser,Wetlands:  Forested; Wetlands:  Lakes and Rivers
common_merganser,Wetlands:  Forested; Wetlands:  Lakes and Rivers
red_breasted_merganser,Wetlands:  Tundra; Wetlands:  Boreal; Coasts:  Marine Waters; Coasts:  Beach and Estuary
masked_duck,Wetlands:  Freshwater Marsh
ruddy_duck,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
plain_chachalaca,Forests:  Tropical Lowland Evergreen
gray_headed_chachalaca,Forests:  Tropical Lowland Evergreen
rufous_bellied_chachalaca,Forests:  Tropical Dry
west_mexican_chachalaca,Forests:  Tropical Dry
ocellated_quail,Forests:  Mesoamerican Pine-Oak
singing_quail,Forests:  Tropical Montane Evergreen
marbled_wood_quail,Forests:  Tropical Lowland Evergreen
black_eared_wood_quail,Forests:  Tropical Lowland Evergreen
tacarcuna_wood_quail,Forests:  Tropical Montane Evergreen
red_necked_grebe,Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
eared_grebe,Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
western_grebe,Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
clarks_grebe,Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
rock_pigeon,Open Country:  Developed/Disturbed
pale_vented_pigeon,Forests:  Tropical Lowland Evergreen
scaled_pigeon,Forests:  Tropical Lowland Evergreen
white_crowned_pigeon,Coasts:  Mangroves
red_billed_pigeon,Forests:  Tropical Dry
caribbean_dove,Forests:  Tropical Dry; Islands:  Terrestrial Habitats
gray_chested_dove,Forests:  Tropical Lowland Evergreen
gray_headed_dove,Forests:  Tropical Lowland Evergreen
tuxtla_quail_dove,Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
buff_fronted_quail_dove,Forests:  Tropical Montane Evergreen
purplish_backed_quail_dove,Forests:  Tropical Montane Evergreen
white_faced_quail_dove,Forests:  Tropical Montane Evergreen
chiriqui_quail_dove,Forests:  Tropical Montane Evergreen
russet_crowned_quail_dove,Forests:  Tropical Montane Evergreen
white_winged_dove,Aridlands:  Desert Scrub; Forests:  Tropical Dry
belted_flycatcher,Forests:  Mesoamerican Pine-Oak; Aridlands:  Tropical Arid Scrub
pileated_flycatcher,Forests:  Tropical Dry; Aridlands:  Tropical Arid Scrub
tufted_flycatcher,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen
olive_sided_flycatcher,Forests:  Boreal; Forests:  Temperate Western; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
greater_pewee,Forests:  Mesoamerican Pine-Oak
yellow_bellied_flycatcher,Forests:  Boreal; Forests:  Tropical Lowland Evergreen; Forests:  Tropical Montane Evergreen
acadian_flycatcher,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen
alder_flycatcher,Wetlands:  Boreal; Wetlands:  Forested; Forests:  Tropical Generalist
willow_flycatcher,Open Country:  Habitat Mosaic; Forests:  Temperate Western
white_throated_flycatcher,Open Country:  Habitat Mosaic; Wetlands:  Freshwater Marsh; Wetlands:  Seasonally Wet Grasslands
least_flycatcher,Forests:  Temperate Eastern; Forests:  Temperate Western; Forests:  Tropical Generalist
hammonds_flycatcher,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
gray_flycatcher,Forests:  Temperate Western; Aridlands:  Desert Scrub; Forests:  Tropical Dry
dusky_flycatcher,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
pine_flycatcher,Forests:  Mesoamerican Pine-Oak
pacific_slope_flycatcher,Forests:  Temperate Western; Forests:  Tropical Dry
cordilleran_flycatcher,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak
yellowish_flycatcher,Forests:  Tropical Montane Evergreen
buff_breasted_flycatcher,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland; Forests:  Tropical Dry
black_capped_flycatcher,Forests:  Tropical Montane Evergreen
black_phoebe,Wetlands:  Generalist
eastern_phoebe,Open Country:  Habitat Mosaic; Forests:  Temperate Eastern
says_phoebe,Aridlands:  Desert Scrub; Forests:  Temperate Western; Open Country:  Habitat Mosaic
vermilion_flycatcher,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub
pied_water_tyrant,Wetlands:  Freshwater Marsh
northern_scrub_flycatcher,Coasts:  Mangroves; Forests:  Tropical Dry
long_tailed_tyrant,Forests:  Tropical Lowland Evergreen
black_crowned_antpitta,Forests:  Tropical Lowland Evergreen
fasciated_antshrike,Forests:  Tropical Lowland Evergreen
great_antshrike,Forests:  Tropical Lowland Evergreen
barred_antshrike,Forests:  Tropical Lowland Evergreen
black_antshrike,Forests:  Tropical Lowland Evergreen
black_hooded_antshrike,Forests:  Tropical Lowland Evergreen
black_crowned_antshrike,Forests:  Tropical Lowland Evergreen
spiny_faced_antshrike,Forests:  Tropical Lowland Evergreen
russet_antshrike,Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
plain_antvireo,Forests:  Tropical Lowland Evergreen
streak_crowned_antvireo,Forests:  Tropical Lowland Evergreen
spot_crowned_antvireo,Forests:  Tropical Lowland Evergreen
moustached_antwren,Forests:  Tropical Lowland Evergreen
pacific_antwren,Forests:  Tropical Lowland Evergreen
white_flanked_antwren,Forests:  Tropical Lowland Evergreen
slaty_antwren,Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
checker_throated_stipplethroat,Forests:  Tropical Lowland Evergreen
rusty_winged_antwren,Forests:  Tropical Lowland Evergreen
dot_winged_antwren,Forests:  Tropical Lowland Evergreen
white_fringed_antwren,Forests:  Tropical Dry
rufous_rumped_antwren,Forests:  Tropical Montane Evergreen
dusky_antbird,Forests:  Tropical Lowland Evergreen
jet_antbird,Forests:  Tropical Lowland Evergreen
bare_crowned_antbird,Forests:  Tropical Lowland Evergreen
zeledons_antbird,Forests:  Tropical Lowland Evergreen
white_bellied_antbird,Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen
chestnut_backed_antbird,Forests:  Tropical Lowland Evergreen
dull_mantled_antbird,Forests:  Tropical Lowland Evergreen
spotted_antbird,Forests:  Tropical Lowland Evergreen
wing_banded_antbird,Forests:  Tropical Lowland Evergreen
zenaida_dove,Islands:  Terrestrial Habitats; Forests:  Tropical Dry
mourning_dove,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
socorro_dove,Islands:  Terrestrial Habitats
greater_ani,Forests:  Tropical Lowland Evergreen; Wetlands:  Forested
smooth_billed_ani,Open Country:  Developed/Disturbed
yucatan_nightjar,Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen
buff_collared_nightjar,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
eastern_whip_poor_will,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen
dusky_nightjar,Forests:  Tropical Montane Evergreen
mexican_whip_poor_will,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
white_tailed_nightjar,Grasslands:  Tropical
spot_tailed_nightjar,Grasslands:  Tropical
oilbird,Forests:  Tropical Lowland Evergreen
great_potoo,Forests:  Tropical Lowland Evergreen
common_potoo,Forests:  Tropical Lowland Evergreen
northern_potoo,Forests:  Tropical Lowland Evergreen; Coasts:  Mangroves
white_collared_swift,Forest Aerial:  Tropical Montane Evergreen; Forests Aerial:  Tropical Lowland Evergreen; Forest Aerial:  Tropical Lowland Evergreen
white_naped_swift,Forest Aerial:  Mesoamerican Pine-Oak; Forests Aerial:  Tropical Dry; Forest Aerial:  Tropical Dry
gray_rumped_swift,Forest Aerial:  Tropical Lowland Evergreen
band_rumped_swift,Forest Aerial:  Tropical Lowland Evergreen
costa_rican_swift,Forest Aerial:  Tropical Lowland Evergreen
chimney_swift,Open Country Aerial:  Developed/Disturbed; Open Country Aerial:  Habitat Mosaic; Forest Aerial:  Tropical Lowland Evergreen
vauxs_swift,Forest Aerial:  Temperate Western; Forests Aerial:  Mesoamerican Highland; Forest Aerial:  Tropical Generalist
chapmans_swift,Forest Aerial:  Tropical Lowland Evergreen
short_tailed_swift,Forest Aerial:  Tropical Lowland Evergreen
white_throated_swift,Open Country Aerial:  Habitat Mosaic
lesser_swallow_tailed_swift,Forest Aerial:  Tropical Lowland Evergreen
great_swallow_tailed_swift,Forest Aerial:  Mesoamerican Highland; Forests Aerial:  Tropical Lowland Evergreen; Forest Aerial:  Tropical Montane Evergreen
white_necked_jacobin,Forests:  Tropical Lowland Evergreen
white_tipped_sicklebill,Forests:  Tropical Montane Evergreen
bronzy_hermit,Forests:  Tropical Lowland Evergreen
rufous_breasted_hermit,Forests:  Tropical Lowland Evergreen
band_tailed_barbthroat,Forests:  Tropical Lowland Evergreen
green_hermit,Forests:  Tropical Montane Evergreen
mexican_hermit,Forests:  Tropical Lowland Evergreen
long_billed_hermit,Forests:  Tropical Lowland Evergreen
black_crested_coquette,Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
white_crested_coquette,Forests:  Tropical Lowland Evergreen
greenish_puffleg,Forests:  Tropical Montane Evergreen
green_crowned_brilliant,Forests:  Tropical Montane Evergreen
rivolis_hummingbird,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen
bicolored_antbird,Forests:  Tropical Lowland Evergreen
ocellated_antbird,Forests:  Tropical Lowland Evergreen
scaled_antpitta,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Highland
streak_chested_antpitta,Forests:  Tropical Lowland Evergreen
thicket_antpitta,Forests:  Tropical Lowland Evergreen
ochre_breasted_antpitta,Forests:  Tropical Montane Evergreen
tacarcuna_tapaculo,Forests:  Tropical Montane Evergreen
silvery_fronted_tapaculo,Forests:  Tropical Montane Evergreen
mayan_antthrush,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Montane Evergreen
black_faced_antthrush,Forests:  Tropical Lowland Evergreen
olivaceous_woodcreeper,Forests:  Tropical Lowland Evergreen
long_tailed_woodcreeper,Forests:  Tropical Lowland Evergreen
ruddy_woodcreeper,Forests:  Tropical Lowland Evergreen
tawny_winged_woodcreeper,Forests:  Tropical Lowland Evergreen
plain_brown_woodcreeper,Forests:  Tropical Lowland Evergreen
wedge_billed_woodcreeper,Forests:  Tropical Lowland Evergreen
buffy_tuftedcheek,Forests:  Tropical Montane Evergreen
sharp_tailed_streamcreeper,Forests:  Tropical Montane Evergreen
slaty_winged_foliage_gleaner,Forests:  Tropical Lowland Evergreen
buff_fronted_foliage_gleaner,Forests:  Tropical Montane Evergreen
scaly_throated_foliage_gleaner,Forests:  Tropical Montane Evergreen
lineated_foliage_gleaner,Forests:  Tropical Montane Evergreen
ruddy_foliage_gleaner,Forests:  Tropical Montane Evergreen
streak_breasted_treehunter,Forests:  Tropical Montane Evergreen
buff_throated_foliage_gleaner,Forests:  Tropical Lowland Evergreen
chiriqui_foliage_gleaner,Forests:  Tropical Lowland Evergreen
striped_woodhaunter,Forests:  Tropical Lowland Evergreen
spotted_barbtail,Forests:  Tropical Montane Evergreen
beautiful_treerunner,Forests:  Tropical Montane Evergreen
ruddy_treerunner,Forests:  Tropical Montane Evergreen
double_banded_graytail,Forests:  Tropical Lowland Evergreen
red_faced_spinetail,Forests:  Tropical Montane Evergreen
coiba_spinetail,Islands:  Terrestrial Habitats
pale_breasted_spinetail,Open Country:  Habitat Mosaic
slaty_spinetail,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Montane Evergreen
rufous_breasted_spinetail,Forests:  Tropical Lowland Evergreen
rufous_browed_peppershrike,Forests:  Tropical Lowland Evergreen
scrub_greenlet,Forests:  Tropical Dry
chestnut_sided_shrike_vireo,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
green_shrike_vireo,Forests:  Tropical Lowland Evergreen
yellow_browed_shrike_vireo,Forests:  Tropical Lowland Evergreen
tawny_crowned_greenlet,Forests:  Tropical Lowland Evergreen
lesser_greenlet,Forests:  Tropical Lowland Evergreen
golden_fronted_greenlet,Forests:  Tropical Dry
golden_vireo,Forests:  Tropical Dry
slaty_vireo,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
black_capped_vireo,Aridlands:  Desert Scrub; Forests:  Tropical Dry
dwarf_vireo,Aridlands:  Tropical Arid Scrub
white_eyed_vireo,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Generalist
mangrove_vireo,Coasts:  Mangroves
cozumel_vireo,Islands:  Terrestrial Habitats
bells_vireo,Aridlands:  Desert Riparian; Forests:  Temperate Eastern; Forests:  Tropical Dry
gray_vireo,Forests:  Temperate Western; Aridlands:  Chaparral; Aridlands:  Desert Scrub
huttons_vireo,Forests:  Temperate Western; Forests:  Mesoamerican Highland
yellow_throated_vireo,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
yellow_winged_vireo,Forests:  Tropical Montane Evergreen
loggerhead_shrike,Grasslands:  Temperate; Aridlands:  Desert Scrub
northern_shrike,Forests:  Boreal; Tundra:  Arctic; Open Country:  Habitat Mosaic
canada_jay,Forests:  Boreal; Forests:  Temperate Western
white_throated_jay,Forests:  Tropical Montane Evergreen
dwarf_jay,Forests:  Mesoamerican Highland
black_throated_jay,Forests:  Tropical Montane Evergreen
silvery_throated_jay,Forests:  Tropical Montane Evergreen
azure_hooded_jay,Forests:  Tropical Montane Evergreen
black_throated_magpie_jay,Forests:  Tropical Dry
white_throated_magpie_jay,Forests:  Tropical Dry
brown_jay,Forests:  Tropical Lowland Evergreen
tufted_jay,Forests:  Mesoamerican Pine-Oak
black_chested_jay,Forests:  Tropical Lowland Evergreen
green_jay,Forests:  Tropical Lowland Evergreen
bushy_crested_jay,Forests:  Tropical Montane Evergreen
san_blas_jay,Forests:  Tropical Dry
yucatan_jay,Forests:  Tropical Dry
purplish_backed_jay,Forests:  Tropical Dry
pinyon_jay,Forests:  Temperate Western
stellers_jay,Forests:  Temperate Western; Forests:  Mesoamerican Highland
blue_jay,Forests:  Temperate Eastern
florida_scrub_jay,Forests:  Temperate Eastern
island_scrub_jay,Islands:  Terrestrial Habitats
california_scrub_jay,Forests:  Temperate Western; Aridlands:  Chaparral
woodhouses_scrub_jay,Forests:  Temperate Western; Aridlands:  Chaparral
transvolcanic_jay,Forests:  Mesoamerican Pine-Oak
mexican_jay,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
unicolored_jay,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Pine-Oak
clarks_nutcracker,Forests:  Temperate Western
black_billed_magpie,Open Country:  Habitat Mosaic
yellow_billed_magpie,Forests:  Temperate Western
american_crow,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
tamaulipas_crow,Forests:  Tropical Dry
sinaloa_crow,Forests:  Tropical Dry
fish_crow,Open Country:  Habitat Mosaic; Wetlands:  Generalist
chihuahuan_raven,Grasslands:  Chihuahuan; Aridlands:  Desert Scrub; Open Country:  Developed/Disturbed
common_raven,Open Country:  Habitat Mosaic
verdin,Aridlands:  Desert Scrub
carolina_chickadee,Forests:  Temperate Eastern
black_capped_chickadee,Forests:  Temperate Generalist
mountain_chickadee,Forests:  Temperate Western
mexican_chickadee,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
chestnut_backed_chickadee,Forests:  Temperate Western
boreal_chickadee,Forests:  Boreal
gray_headed_chickadee,Forests:  Boreal
bridled_titmouse,Forests:  Mesoamerican Pine-Oak
oak_titmouse,Forests:  Temperate Western
juniper_titmouse,Forests:  Temperate Western
talamanca_hummingbird,Forests: Tropical Montane Evergreen
fiery_throated_hummingbird,Forests:  Tropical Montane Evergreen
long_billed_starthroat,Forests:  Tropical Lowland Evergreen
plain_capped_starthroat,Forests:  Tropical Dry
green_throated_mountain_gem,Forests:  Tropical Montane Evergreen
green_breasted_mountain_gem,Forests:  Tropical Montane Evergreen
amethyst_throated_mountain_gem,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Pine-Oak
blue_throated_mountain_gem,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
white_bellied_mountain_gem,Forests:  Tropical Montane Evergreen
purple_throated_mountain_gem,Forests:  Tropical Montane Evergreen
white_throated_mountain_gem,Forests:  Tropical Montane Evergreen
garnet_throated_hummingbird,Forests:  Tropical Montane Evergreen
magenta_throated_woodstar,Forests:  Tropical Montane Evergreen
purple_throated_woodstar,Forests:  Tropical Montane Evergreen
slender_sheartail,Forests:  Tropical Montane Evergreen
mexican_sheartail,Forests:  Tropical Dry
sparkling_tailed_hummingbird,Forests:  Mesoamerican Pine-Oak
lucifer_hummingbird,Aridlands:  Desert Scrub; Forests:  Tropical Dry
beautiful_hummingbird,Forests:  Tropical Dry
ruby_throated_hummingbird,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen
black_chinned_hummingbird,Forests:  Temperate Western; Aridlands:  Desert Riparian; Forests:  Tropical Dry
annas_hummingbird,Aridlands:  Chaparral; Forests:  Temperate Western
costas_hummingbird,Aridlands:  Desert Scrub
calliope_hummingbird,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak
broad_billed_hummingbird,Forests:  Tropical Dry; Aridlands:  Desert Riparian; Aridlands:  Tropical Arid Scrub
tres_marias_hummingbird,Islands:  Terrestrial Habitats; Forests:  Tropical Dry; Aridlands:  Tropical Arid Scrub
turquoise_crowned_hummingbird,Forests:  Tropical Dry; Aridlands:  Desert Riparian
golden_crowned_emerald,Forests:  Tropical Dry
green_fronted_hummingbird,Forests:  Tropical Dry
azure_crowned_hummingbird,Forests:  Mesoamerican Pine-Oak
blue_vented_hummingbird,Forests:  Tropical Lowland Evergreen
berylline_hummingbird,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry
blue_tailed_hummingbird,Forests:  Tropical Lowland Evergreen
snowy_bellied_hummingbird,Forests:  Tropical Lowland Evergreen
