species,habitat
band_tailed_pigeon,Forests:  Temperate Western; Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak
ruddy_pigeon,Forests:  Tropical Lowland Evergreen
short_billed_pigeon,Forests:  Tropical Lowland Evergreen
eurasian_collared_dove,Open Country:  Developed/Disturbed
spotted_dove,Open Country:  Developed/Disturbed
inca_dove,Open Country:  Habitat Mosaic
common_ground_dove,Aridlands:  Desert Scrub; Forests:  Tropical Dry
plain_breasted_ground_dove,Aridlands:  Tropical Arid Scrub; Grasslands:  Tropical
ruddy_ground_dove,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
blue_ground_dove,Forests:  Tropical Lowland Evergreen
maroon_chested_ground_dove,Forests:  Tropical Montane Evergreen
ruddy_quail_dove,Forests:  Tropical Lowland Evergreen
violaceous_quail_dove,Forests:  Tropical Lowland Evergreen
olive_backed_quail_dove,Forests:  Tropical Lowland Evergreen
white_tipped_dove,Forests:  Tropical Dry
groove_billed_ani,Open Country:  Developed/Disturbed
striped_cuckoo,Open Country:  Habitat Mosaic; Grasslands:  Tropical
pheasant_cuckoo,Forests:  Tropical Lowland Evergreen
lesser_ground_cuckoo,Forests:  Tropical Dry
lesser_roadrunner,Forests:  Tropical Dry
greater_roadrunner,Aridlands:  Desert Scrub
rufous_vented_ground_cuckoo,Forests:  Tropical Lowland Evergreen
little_cuckoo,Forests:  Tropical Lowland Evergreen
squirrel_cuckoo,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
yellow_billed_cuckoo,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen
mangrove_cuckoo,Coasts:  Mangroves; Forests:  Tropical Dry
cocos_cuckoo,Islands:  Terrestrial Habitats
black_billed_cuckoo,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen
short_tailed_nighthawk,Forests:  Tropical Lowland Evergreen
lesser_nighthawk,Aridlands Aerial:  Desert Scrub; Open Country Aerial:  Habitat Mosaic
common_nighthawk,Open Country Aerial:  Habitat Mosaic
antillean_nighthawk,Open Country Aerial:  Habitat Mosaic; Unknown
common_pauraque,Forests:  Tropical Generalist
common_poorwill,Aridlands:  Desert Scrub; Aridlands:  Sagebrush
eared_poorwill,Forests:  Mesoamerican Pine-Oak
yucatan_poorwill,Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen
ocellated_poorwill,Forests:  Tropical Lowland Evergreen
chuck_wills_widow,Forests:  Temperate Eastern; Open Country:  Habitat Mosaic
rufous_nightjar,Forests:  Tropical Dry
tawny_collared_nightjar,Forests:  Tropical Dry
black_swift,Forest Aerial:  Temperate Western; Forests Aerial:  Mesoamerican Highland; Forest Aerial:  Tropical Generalist
white_fronted_swift,Forest Aerial:  Mesoamerican Highland
white_chinned_swift,Forest Aerial:  Tropical Montane Evergreen
spot_fronted_swift,Forest Aerial:  Tropical Montane Evergreen
chestnut_collared_swift,Forest Aerial:  Mesoamerican Highland; Forests Aerial:  Tropical Lowland Evergreen; Forest Aerial:  Tropical Montane Evergreen
white_whiskered_hermit,Forests:  Tropical Montane Evergreen
pale_bellied_hermit,Forests:  Tropical Lowland Evergreen
stripe_throated_hermit,Forests:  Tropical Lowland Evergreen
green_fronted_lancebill,Forests:  Tropical Montane Evergreen
brown_violetear,Forests:  Tropical Montane Evergreen
mexican_violetear,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Pine-Oak
lesser_violetear,Forests:  Tropical Montane Evergreen
tooth_billed_hummingbird,Forests:  Tropical Montane Evergreen
purple_crowned_fairy,Forests:  Tropical Lowland Evergreen
green_breasted_mango,Forests:  Tropical Lowland Evergreen
black_throated_mango,Open Country:  Habitat Mosaic
veraguan_mango,Open Country:  Habitat Mosaic
green_thorntail,Forests:  Tropical Montane Evergreen
short_crested_coquette,Forests:  Tropical Lowland Evergreen
rufous_crested_coquette,Forests:  Tropical Lowland Evergreen
rufous_hummingbird,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
allens_hummingbird,Aridlands:  Chaparral; Forests:  Mesoamerican Pine-Oak
broad_tailed_hummingbird,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak
bumblebee_hummingbird,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
wine_throated_hummingbird,Forests:  Tropical Montane Evergreen
volcano_hummingbird,Tundra:  Paramo
scintillant_hummingbird,Forests:  Tropical Montane Evergreen
glow_throated_hummingbird,Forests:  Tropical Montane Evergreen
dusky_hummingbird,Forests:  Tropical Dry
cozumel_emerald,Forests:  Tropical Dry
canivets_emerald,Forests:  Tropical Lowland Evergreen
garden_emerald,Forests:  Tropical Lowland Evergreen
white_eared_hummingbird,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
xantuss_hummingbird,Aridlands:  Desert Scrub
wedge_tailed_sabrewing,Forests:  Tropical Lowland Evergreen
rufous_sabrewing,Forests:  Tropical Montane Evergreen
emerald_chinned_hummingbird,Forests:  Tropical Montane Evergreen
violet_headed_hummingbird,Forests:  Tropical Montane Evergreen
violet_sabrewing,Forests:  Tropical Montane Evergreen
bronze_tailed_plumeleteer,Forests:  Tropical Lowland Evergreen
white_vented_plumeleteer,Forests:  Tropical Lowland Evergreen
crowned_woodnymph,Forests:  Tropical Lowland Evergreen
snowcap,Forests:  Tropical Lowland Evergreen
coppery_headed_emerald,Forests:  Tropical Montane Evergreen
white_tailed_emerald,Forests:  Tropical Montane Evergreen
violet_capped_hummingbird,Forests:  Tropical Lowland Evergreen
pirre_hummingbird,Forests:  Tropical Montane Evergreen
mexican_woodnymph,Forests:  Tropical Dry
white_tailed_hummingbird,Forests:  Tropical Montane Evergreen
blue_capped_hummingbird,Forests:  Tropical Montane Evergreen
stripe_tailed_hummingbird,Forests:  Tropical Montane Evergreen
black_bellied_hummingbird,Forests:  Tropical Montane Evergreen
scaly_breasted_hummingbird,Forests:  Tropical Lowland Evergreen
violet_crowned_hummingbird,Forests:  Tropical Dry; Aridlands:  Desert Riparian
common_gallinule,Wetlands:  Freshwater Marsh
american_coot,Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers; Coasts:  Saltmarsh
purple_gallinule,Wetlands:  Freshwater Marsh
ocellated_crake,Grasslands:  Tropical
yellow_rail,Wetlands:  Boreal; Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
yellow_breasted_crake,Wetlands:  Freshwater Marsh
ruddy_crake,Wetlands:  Freshwater Marsh
white_throated_crake,Wetlands:  Freshwater Marsh
gray_breasted_crake,Wetlands:  Freshwater Marsh
black_rail,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh
sungrebe,Wetlands:  Lakes and Rivers
limpkin,Wetlands:  Lakes and Rivers; Wetlands:  Freshwater Marsh
sandhill_crane,Wetlands:  Generalist
whooping_crane,Wetlands:  Boreal; Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
double_striped_thick_knee,Grasslands:  Tropical
black_necked_stilt,Wetlands:  Freshwater Marsh; Wetlands:  Generalist
ruddy_turnstone,Coasts:  Tundra; Wetlands:  Tundra; Coasts:  Beach and Estuary; Coasts:  Rocky Intertidal
black_turnstone,Coasts:  Tundra; Tundra:  Arctic; Coasts:  Rocky Intertidal
red_knot,Tundra:  Arctic; Coasts:  Beach and Estuary
surfbird,Tundra:  Alpine; Coasts:  Rocky Intertidal
sharp_tailed_sandpiper,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Seasonally Wet Grasslands
purple_sandpiper,Wetlands:  Tundra; Tundra:  Arctic; Coasts:  Rocky Intertidal
bairds_sandpiper,Tundra:  Arctic; Grasslands:  Pampas and Campos; Wetlands:  Lakes and Rivers
least_sandpiper,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Generalist
white_rumped_sandpiper,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers
dovekie,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
common_murre,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
