white_throated_sierra_finch,obligate
canary_winged_finch,obligate
white_winged_diuca_finch,obligate
short_tailed_finch,obligate
puna_yellow_finch,obligate
bright_rumped_yellow_finch,obligate
greater_yellow_finch,obligate
patagonian_yellow_finch,obligate
wedge_tailed_grass_finch,obligate
duida_grass_finch,obligate
lesser_grass_finch,obligate
great_pampa_finch,obligate
plumbeous_seedeater,obligate
capped_seedeater,obligate
tawny_bellied_seedeater,obligate
dark_throated_seedeater,obligate
marsh_seedeater,obligate
rufous_rumped_seedeater,obligate
chestnut_seedeater,obligate
naroskys_seedeater,obligate
black_bellied_seedeater,obligate
blue_finch,obligate
saffron_cowled_blackbird,obligate
white_browed_blackbird,obligate
peruvian_meadowlark,obligate
red_breasted_blackbird,obligate
pampas_meadowlark,obligate
long_tailed_meadowlark,obligate
yellow_rumped_meadowlark,obligate
greater_rhea,facultative
smalled_billed_tinamou,facultative
ornate_tinamou,facultative
andean_tinamou,facultative
curve_billed_tinamou,facultative
elegant_crested_tinamou,facultative
quebracho_crested_tinamou,facultative
puna_tinamou,facultative
patagonian_tinamou,facultative
whistling_heron,facultative
plumbeous_ibis,facultative
buff_necked_ibis,facultative
black_faced_ibis,facultative
wood_stork,facultative
maguari_stork,facultative
black_vulture,facultative
andean_condor,facultative
upland_goose,facultative
ashy_headed_goose,facultative
pearl_kite,facultative
white_tailed_kite,facultative
long_winged_harrier,facultative
cinereus_harrier,facultative
savanna_hawk,facultative
harriss_hawk,facultative
black_chested_buzzard_eagle,facultative
crowned_eagle,facultative
white_tailed_hawk,facultative
variable_hawk,facultative
yellow_headed_caracara,facultative
chimango_caracara,facultative
spot_winged_falconet,facultative
red_legged_seriema,facultative
black_legged_seriema,facultative
peruvian_thick_knee,facultative
least_seedsnipe,facultative
bairds_sandpiper,facultative
fuegian_snipe,facultative
picazuro_pigeon,facultative
spot_winged_pigeon,facultative
eared_dove,facultative
plain_breasted_ground_dove,facultative
ruddy_ground_dove,facultative
buckleys_ground_dove,facultative
picui_ground_dove,facultative
bare_faced_ground_dove,facultative
morenos_ground_dove,facultative
long_tailed_ground_dove,facultative
scaly_dove,facultative
burrowing_parakeet,facultative
monk_parakeet,facultative
green_rumped_parrotlet,facultative
striped_cuckoo,facultative
smooth_billed_ani,facultative
groove_billed_ani,facultative
nacunda_nighthawk,facultative
scrub_nightjar,facultative
scissor_tailed_nightjar,facultative
fiery_throated_hummingbird,facultative
green_tailed_goldenthroat,facultative
andean_flicker,facultative
campo_flicker,facultative
straight_billed_earthcreeper,facultative
rock_earthcreeper,facultative
scale_throated_earthcreeper,facultative
bar_winged_cinclodes,facultative
long_tailed_cinclodes,facultative
dark_bellied_cinclodes,facultative
white_winged_cinclodes,facultative
rufous_hornero,facultative
pale_breasted_spinetail,facultative
lesser_canastero,facultative
cordilleran_canastero,facultative
streak_throated_canastero,facultative
streak_backed_canastero,facultative
puna_canastero,facultative
many_striped_canastero,facultative
hudsons_canastero,facultative
firewood_gatherer,facultative
collared_crescent_chest,facultative
plain_crested_elaenia,facultative
rufous_crowned_elaenia,facultative
lesser_elaenia,facultative
grey_backed_tachuri,facultative
rufous_sided_pygmy_tyrant,facultative
grey_monjita,facultative
black_crowned_monjita,facultative
white_rumped_monjita,facultative
white_monjita,facultative
rusty_backed_monjita,facultative
black_and_white_monjita,facultative
chocolate_vented_tyrant,facultative
black_billed_shrike_tyrant,facultative
white_tailed_shrike_tyrant,facultative
great_shrike_tyrant,facultative
grey_bellied_shrike_tyrant,facultative
lesser_shrike_tyrant,facultative
spot_billed_ground_tyrant,facultative
dark_faced_ground_tyrant,facultative
cinnamon_bellied_ground_tyrant,facultative
rufous_naped_ground_tyrant,facultative
puna_ground_tyrant,facultative
white_browed_ground_tyrant,facultative
plain_capped_ground_tyrant,facultative
cinereous_ground_tyrant,facultative
white_fronted_ground_tyrant,facultative
ochre_naped_ground_tyrant,facultative
black_fronted_ground_tyrant,facultative
austral_negrito,facultative
spectacled_tyrant,facultative
strange_tailed_tyrant,facultative
streamer_tailed_tyrant,facultative
cattle_tyrant,facultative
white_necked_raven,facultative
rufous_collared_sparrow,facultative
yellow_browed_sparrow,facultative
coal_crested_finch,facultative
many_colored_chaco_finch,facultative
ash_breasted_sierra_finch,facultative
carbonated_sierra_finch,facultative
yellow_bridled_finch,facultative
long_tailed_reed_finch,facultative
black_and_rufous_warbling_finch,facultative
stripe_tailed_yellow_finch,facultative
pale_throated_serra_finch,facultative
grey_seedeater,facultative
variable_seedeater,facultative
caqueta_seedeater,facultative
wing_barred_seedeater,facultative
rusty_collared_seedeater,facultative
lessons_seedeater,facultative
lined_seedeater,facultative
black_and_white_seedeater,facultative
double_collared_seedeater,facultative
white_bellied_seedeater,facultative
chestnut_bellied_seedeater,facultative
chestnut_throated_seedeater,facultative
large_billed_seed_finch,facultative
great_billed_seed_finch,facultative
lesser_seed_finch,facultative
band_tailed_seedeater,facultative
plain_colored_seedeater,facultative
black_faced_grassquit,facultative
yellow_hooded_blackbird,facultative
brown_and_yellow_marshbird,facultative
chopi_blackbird,facultative
bay_winged_cowbird,facultative
screaming_cowbird,facultative
