species,primary_habitat,habitat
torrent_duck,Riparian,riparian
spur_winged_goose,Wetland,grasslands; artificial; riparian; wetlands_lakes_marsh
comb_duck,Wetland,grasslands; artificial; riparian; wetlands_lakes_marsh
knob_billed_duck,Wetland,grasslands; artificial; riparian; wetlands_lakes_marsh
blue_winged_goose,Grassland,grasslands; riparian; wetlands_lakes_marsh
egyptian_goose,Wetland,woodland; grasslands; artificial; riparian; wetlands_lakes_marsh
mauritius_shelduck,Wetland,woodland; wetlands_lakes_marsh
reunion_shelduck,Wetland,wetlands_lakes_marsh
orinoco_goose,Wetland,forest; savannah; grasslands; riparian; wetlands_lakes_marsh
andean_goose,Wetland,grasslands; wetlands_lakes_marsh
upland_goose,Grassland,grasslands; artificial
kelp_goose,Coastal,rocky_areas; coastal
ashy_headed_goose,Forest,forest; grasslands; artificial; coastal; wetlands_lakes_marsh
ruddy_headed_goose,Grassland,grasslands; artificial; coastal
radjah_shelduck,Coastal,coastal; wetlands_lakes_marsh
common_shelduck,Coastal,riparian; coastal; wetlands_lakes_marsh
ruddy_shelduck,Wetland,grasslands; artificial; riparian; wetlands_lakes_marsh
south_african_shelduck,Wetland,savannah; artificial; riparian; coastal; wetlands_lakes_marsh
australian_shelduck,Wetland,grasslands; artificial; coastal; wetlands_lakes_marsh
paradise_shelduck,Coastal,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh
crested_shelduck,Wetland,wetlands_lakes_marsh
pink_eared_duck,Wetland,artificial; wetlands_lakes_marsh
salvadoris_teal,Riparian,riparian; wetlands_lakes_marsh
muscovy_duck,Wetland,riparian; coastal; wetlands_lakes_marsh
white_winged_duck,Wetland,forest; riparian; wetlands_lakes_marsh
hartlaubs_duck,Wetland,forest; woodland; artificial; riparian; coastal; wetlands_lakes_marsh
wood_duck,Wetland,forest; artificial; riparian; wetlands_lakes_marsh
mandarin_duck,Wetland,forest; riparian; wetlands_lakes_marsh
maned_duck,Wetland,forest; artificial; riparian; wetlands_lakes_marsh
finschs_duck,Grassland,forest; shrub; grasslands
african_pygmy_goose,Wetland,riparian; wetlands_lakes_marsh
cotton_pygmy_goose,Wetland,riparian; coastal; wetlands_lakes_marsh
green_pygmy_goose,Wetland,riparian; wetlands_lakes_marsh
brazilian_teal,Wetland,woodland; grasslands; coastal; wetlands_lakes_marsh
ringed_teal,Wetland,forest; riparian; wetlands_lakes_marsh
crested_duck,Wetland,coastal; wetlands_lakes_marsh
spectacled_duck,Riparian,riparian; coastal; wetlands_lakes_marsh
baikal_teal,Wetland,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh
garganey,Wetland,artificial; coastal; wetlands_lakes_marsh
blue_billed_teal,Wetland,artificial; wetlands_lakes_marsh
puna_teal,Wetland,grasslands; wetlands_lakes_marsh
silver_teal,Wetland,wetlands_lakes_marsh
red_shoveler,Wetland,coastal; wetlands_lakes_marsh
cinnamon_teal,Wetland,wetlands_lakes_marsh
blue_winged_teal,Wetland,forest; grasslands; coastal; wetlands_lakes_marsh
cape_shoveler,Wetland,artificial; coastal; wetlands_lakes_marsh
australasian_shoveler,Wetland,coastal; wetlands_lakes_marsh
northern_shoveler,Wetland,grasslands; artificial; coastal; wetlands_lakes_marsh
gadwall,Wetland,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh
falcated_duck,Wetland,woodland; artificial; riparian; coastal; wetlands_lakes_marsh
eurasian_wigeon,Wetland,forest; coastal; wetlands_lakes_marsh
chiloe_wigeon,Wetland,riparian; coastal; wetlands_lakes_marsh
american_wigeon,Wetland,woodland; grasslands; coastal; wetlands_lakes_marsh
amsterdam_duck,Wetland,grasslands; riparian; wetlands_lakes_marsh
african_black_duck,Riparian,woodland; artificial; riparian; coastal; wetlands_lakes_marsh
yellow_billed_duck,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
mellers_duck,Wetland,artificial; riparian; wetlands_lakes_marsh
pacific_black_duck,Wetland,artificial; riparian; wetlands_lakes_marsh
laysan_duck,Coastal,shrub; grasslands; coastal; wetlands_lakes_marsh
