species,primary_habitat,habitat
huanuco_starfrontlet,Forest,forest; shrub
apurimac_starfrontlet,Forest,forest
cuzco_starfrontlet,Forest,forest; shrub
rainbow_starfrontlet,Forest,forest; shrub; artificial; riparian
white_tailed_starfrontlet,Forest,forest; shrub
glittering_starfrontlet,Forest,forest
buff_winged_starfrontlet,Forest,forest; woodland; grasslands
perija_starfrontlet,Forest,forest; shrub
golden_bellied_starfrontlet,Forest,forest
golden_starfrontlet,Forest,forest; shrub
blue_throated_starfrontlet,Forest,forest; shrub; artificial
mountain_velvetbreast,Forest,forest; shrub
sword_billed_hummingbird,Forest,forest; shrub; grasslands
great_sapphirewing,Forest,forest; shrub; grasslands
buff_tailed_coronet,Forest,forest; shrub
chestnut_breasted_coronet,Forest,forest
velvet_purple_coronet,Forest,forest; shrub
booted_racket_tail,Forest,forest
peruvian_racket_tail,Forest,forest
rufous_booted_racket_tail,Forest,forest
rufous_gaped_hillstar,Forest,forest; shrub; riparian
white_tailed_hillstar,Forest,forest; shrub; riparian
purple_bibbed_whitetip,Forest,forest; shrub
rufous_vented_whitetip,Forest,forest; shrub
velvet_browed_brilliant,Forest,forest; shrub
pink_throated_brilliant,Forest,forest
rufous_webbed_brilliant,Forest,forest; woodland; artificial
black_throated_brilliant,Forest,forest; shrub
black_breasted_brilliant,Forest,forest
goulds_brilliant,Forest,forest; riparian
fawn_breasted_brilliant,Forest,forest; artificial
green_crowned_brilliant,Forest,forest; shrub
empress_brilliant,Forest,forest; shrub
violet_fronted_brilliant,Forest,forest; woodland; shrub; artificial
brazilian_ruby,Forest,forest; shrub; artificial
giant_hummingbird,Grassland,shrub; grasslands; artificial; riparian
violet_chested_hummingbird,Forest,forest; woodland; shrub; artificial
scissor_tailed_hummingbird,Forest,forest
magnificent_hummingbird,Forest,forest; riparian
talamanca_hummingbird,Forest,forest
fiery_throated_hummingbird,Forest,forest; shrub; grasslands
long_billed_starthroat,Forest,forest; woodland; shrub; riparian
plain_capped_starthroat,Woodland,forest; woodland; shrub; savannah; artificial
stripe_breasted_starthroat,Forest,forest; shrub
blue_tufted_starthroat,Forest,forest; shrub; grasslands
white_bellied_mountain_gem,Forest,forest; shrub
blue_throated_mountain_gem,Woodland,forest; woodland; artificial; riparian
amethyst_throated_mountain_gem,Forest,forest
green_throated_mountain_gem,Forest,forest
green_breasted_mountain_gem,Forest,forest; woodland; shrub
purple_throated_mountain_gem,Forest,forest; artificial
grey_tailed_mountain_gem,Forest,forest; artificial
white_throated_mountain_gem,Forest,forest
garnet_throated_hummingbird,Forest,forest; shrub
amethyst_woodstar,Forest,forest; woodland; shrub; savannah
purple_collared_woodstar,Shrub,shrub; grasslands; coastal
oasis_hummingbird,Shrub,shrub; artificial
short_tailed_woodstar,Forest,forest; shrub; coastal
peruvian_sheartail,Coastal,desert; artificial; coastal
magenta_throated_woodstar,Forest,forest; woodland; shrub
purple_throated_woodstar,Forest,forest; coastal
chilean_woodstar,Shrub,shrub; artificial
slender_tailed_woodstar,Shrub,forest; woodland; shrub; artificial
white_bellied_woodstar,Forest,forest; grasslands
little_woodstar,Forest,forest
gorgeted_woodstar,Forest,forest; shrub; artificial
santa_marta_woodstar,Forest,forest; woodland; grasslands
esmeraldas_woodstar,Forest,forest; shrub
rufous_shafted_woodstar,Shrub,forest; shrub; artificial
sparkling_tailed_woodstar,Forest,forest; woodland; shrub
slender_sheartail,Forest,forest; woodland; shrub
mexican_sheartail,Shrub,shrub; artificial; wetlands_lakes_marsh
lucifer_hummingbird,Shrub,forest; shrub
beautiful_hummingbird,Shrub,forest; shrub
black_chinned_hummingbird,Woodland,forest; woodland; shrub; desert
ruby_throated_hummingbird,Woodland,forest; woodland; artificial
vervain_hummingbird,Woodland,woodland; shrub; artificial
bee_hummingbird,Woodland,woodland; shrub; artificial; wetlands_lakes_marsh
bahama_hummingbird,Coastal,forest; artificial; coastal
lyre_tailed_hummingbird,Shrub,forest; woodland; shrub; artificial; riparian
annas_hummingbird,Woodland,woodland; shrub; savannah; riparian; coastal
costas_hummingbird,Desert,shrub; savannah; grasslands; plains; desert; artificial; coastal
calliope_hummingbird,Shrub,shrub; artificial
rufous_hummingbird,Forest,forest; shrub
allens_hummingbird,Shrub,forest; shrub; artificial; riparian
broad_tailed_hummingbird,Woodland,forest; woodland; shrub; grasslands; riparian
bumblebee_hummingbird,Forest,forest; woodland
wine_throated_hummingbird,Forest,forest; woodland; shrub
volcano_hummingbird,Shrub,forest; shrub; grasslands; artificial; wetlands_lakes_marsh
scintillant_hummingbird,Forest,forest; shrub; grasslands; artificial
glow_throated_hummingbird,Shrub,forest; shrub
dusky_hummingbird,Shrub,shrub; artificial; riparian
cuban_emerald,Forest,forest; woodland; artificial; coastal
braces_emerald,Shrub,shrub
hispaniolan_emerald,Forest,forest; shrub; artificial
puerto_rican_emerald,Forest,forest; woodland; artificial; coastal
blue_headed_hummingbird,Forest,forest; shrub; riparian
caribbean_emerald,Forest,forest
broad_billed_hummingbird,Woodland,woodland; shrub; rocky_areas; desert; riparian
tres_marias_hummingbird,Shrub,woodland; shrub
turquoise_crowned_hummingbird,Shrub,forest; shrub
golden_crowned_emerald,Savanna,woodland; savannah; artificial
cozumel_emerald,Shrub,forest; shrub
canivets_emerald,Savanna,woodland; savannah; artificial
garden_emerald,Savanna,woodland; savannah; artificial
western_emerald,Artificial,woodland; artificial
red_billed_emerald,Savanna,woodland; savannah; artificial
blue_tailed_emerald,Shrub,forest; woodland; shrub; artificial
chiribiquete_emerald,Shrub,forest; shrub; savannah
glittering_bellied_emerald,Shrub,shrub; grasslands; artificial
coppery_emerald,Shrub,forest; shrub; artificial
narrow_tailed_emerald,Forest,forest; shrub
green_tailed_emerald,Forest,forest; woodland; shrub; artificial
short_tailed_emerald,Forest,forest; woodland; shrub; artificial
white_eared_hummingbird,Forest,forest
xantuss_hummingbird,Shrub,forest; shrub; desert
curve_winged_sabrewing,Forest,forest; woodland; artificial
wedge_tailed_sabrewing,Forest,forest; woodland; artificial
rufous_sabrewing,Forest,forest; artificial
emerald_chinned_hummingbird,Forest,forest
violet_headed_hummingbird,Forest,forest; shrub; artificial
antillean_crested_hummingbird,Woodland,forest; woodland; shrub; grasslands; artificial
santa_marta_blossomcrown,Forest,forest; shrub
tolima_blossomcrown,Forest,forest; artificial
green_crowned_plovercrest,Forest,forest; shrub; riparian
purple_crowned_plovercrest,Forest,forest; shrub; riparian
grey_breasted_sabrewing,Forest,forest; shrub; artificial
outcrop_sabrewing,Forest,forest; rocky_areas
diamantina_sabrewing,Forest,forest; grasslands; riparian
rufous_breasted_sabrewing,Forest,forest; shrub
white_tailed_sabrewing,Forest,forest; artificial
lazuline_sabrewing,Forest,forest; grasslands; artificial
santa_marta_sabrewing,Forest,forest; shrub; artificial
violet_sabrewing,Forest,forest; woodland; artificial; riparian
buff_breasted_sabrewing,Forest,forest; shrub
napo_sabrewing,Forest,forest; shrub
bronze_tailed_plumeleteer,Forest,forest; artificial
white_vented_plumeleteer,Forest,forest; shrub
crowned_woodnymph,Forest,forest; shrub; artificial
fork_tailed_woodnymph,Forest,forest; shrub; artificial
long_tailed_woodnymph,Forest,forest; shrub; artificial
violet_capped_woodnymph,Forest,forest; shrub; artificial
snowcap,Forest,forest
coppery_headed_emerald,Forest,forest; grasslands; artificial
white_tailed_emerald,Forest,forest; artificial
violet_capped_hummingbird,Forest,forest
pirre_hummingbird,Forest,forest
mexican_woodnymph,Forest,forest; shrub; artificial
white_tailed_hummingbird,Forest,forest
oaxaca_hummingbird,Forest,forest
stripe_tailed_hummingbird,Forest,forest; shrub; riparian
black_bellied_hummingbird,Forest,forest; shrub; artificial
scaly_breasted_sabrewing,Forest,forest; shrub; artificial; coastal
buffy_hummingbird,Shrub,woodland; shrub; artificial; coastal
tumbes_hummingbird,Shrub,forest; shrub; desert
spot_throated_hummingbird,Forest,forest; shrub; savannah; desert; artificial; coastal
many_spotted_hummingbird,Forest,forest
swallow_tailed_hummingbird,Shrub,forest; shrub; grasslands; artificial
sombre_hummingbird,Forest,forest; shrub; artificial
olive_spotted_hummingbird,Riparian,shrub; grasslands; riparian
red_billed_streamertail,Forest,forest; artificial
black_billed_streamertail,Forest,forest; artificial
violet_crowned_hummingbird,Shrub,forest; shrub; artificial; riparian
green_fronted_hummingbird,Forest,forest; shrub; artificial; riparian
cinnamon_sided_hummingbird,Shrub,forest; woodland; shrub; riparian
azure_crowned_hummingbird,Forest,forest; shrub; savannah; artificial; riparian
blue_vented_hummingbird,Shrub,forest; shrub; savannah; plains; artificial
berylline_hummingbird,Forest,forest; shrub; artificial; riparian
blue_tailed_hummingbird,Forest,forest; shrub; artificial
snowy_bellied_hummingbird,Savanna,forest; woodland; shrub; savannah; artificial
steely_vented_hummingbird,Shrub,forest; shrub; savannah; artificial
indigo_capped_hummingbird,Forest,forest; shrub
guanacaste_hummingbird,Forest,forest
chestnut_bellied_hummingbird,Forest,forest; shrub
green_bellied_hummingbird,Forest,forest; shrub; artificial
copper_tailed_hummingbird,Forest,forest; shrub
copper_rumped_hummingbird,Forest,forest; savannah; artificial
cinnamon_hummingbird,Woodland,forest; woodland; shrub; savannah; artificial; coastal
buff_bellied_hummingbird,Woodland,forest; woodland; shrub; riparian; coastal
rufous_tailed_hummingbird,Shrub,forest; shrub; artificial
honduran_emerald,Forest,forest; shrub
amazilia_hummingbird,Shrub,forest; shrub; plains; desert; artificial; coastal
andean_emerald,Forest,forest; shrub
shining_green_hummingbird,Shrub,forest; woodland; shrub; artificial
golden_tailed_sapphire,Forest,forest; woodland; artificial; riparian
versicolored_emerald,Forest,forest; shrub; artificial; riparian
mangrove_hummingbird,Coastal,forest; coastal
sapphire_throated_hummingbird,Shrub,forest; shrub; coastal
sapphire_bellied_hummingbird,Forest,forest; shrub; coastal
humboldts_hummingbird,Coastal,forest; coastal
grays_hummingbird,Shrub,forest; woodland; shrub; artificial; coastal; wetlands_lakes_marsh
white_chested_emerald,Forest,forest; shrub; artificial; riparian; coastal
plain_bellied_emerald,Coastal,shrub; artificial; coastal
white_throated_hummingbird,Forest,forest; shrub; artificial; wetlands_lakes_marsh
glittering_throated_emerald,Forest,forest; woodland; shrub; savannah; artificial; riparian; coastal
sapphire_spangled_emerald,Forest,forest; shrub; artificial; riparian
spot_vented_emerald,Forest,forest; shrub; riparian
rufous_throated_hummingbird,Forest,forest; shrub; artificial
gilded_hummingbird,Forest,forest; shrub; artificial
white_bellied_hummingbird,Forest,forest; shrub; artificial
green_and_white_hummingbird,Forest,forest; shrub; artificial
blue_chested_hummingbird,Forest,forest; woodland; shrub; artificial; riparian
charming_hummingbird,Forest,forest; woodland; shrub
purple_chested_hummingbird,Forest,forest; shrub
white_bellied_emerald,Forest,forest; artificial; riparian
blue_throated_goldentail,Forest,forest; shrub; artificial
white_chinned_sapphire,Forest,forest; woodland; artificial; riparian
violet_bellied_hummingbird,Forest,forest
blue_chinned_emerald,Forest,forest; woodland; shrub; artificial
great_blue_turaco,Forest,forest; riparian
brown_faced_go_away_bird,Woodland,woodland; shrub; artificial; riparian
black_faced_go_away_bird,Shrub,shrub; savannah; artificial
grey_go_away_bird,Woodland,woodland; savannah; artificial; riparian
white_bellied_go_away_bird,Savanna,savannah
western_plantain_eater,Woodland,woodland; savannah; grasslands; artificial; wetlands_lakes_marsh
eastern_plantain_eater,Woodland,woodland; savannah; artificial
purple_crested_turaco,Woodland,forest; woodland; shrub; artificial; riparian; coastal
rwenzori_turaco,Forest,forest; bamboo
white_cheeked_turaco,Forest,forest; woodland
ruspolis_turaco,Forest,forest; woodland; shrub
violet_turaco,Riparian,forest; savannah; artificial; riparian
rosss_turaco,Forest,forest; woodland; shrub; riparian
yellow_billed_turaco,Forest,forest; riparian
bannermans_turaco,Forest,forest
white_crested_turaco,Riparian,savannah; riparian
red_crested_turaco,Forest,forest; woodland; riparian
green_turaco,Forest,forest; artificial; riparian
livingstones_turaco,Forest,forest; coastal
schalows_turaco,Forest,forest; shrub; riparian
knysna_turaco,Forest,forest; shrub; riparian; coastal
black_billed_turaco,Forest,forest
fischers_turaco,Forest,forest; shrub
hartlaubs_turaco,Forest,forest; artificial
great_bustard,Grassland,grasslands; artificial
arabian_bustard,Plains,woodland; shrub; savannah; plains; desert; artificial
kori_bustard,Grassland,woodland; shrub; savannah; grasslands; desert; artificial
great_indian_bustard,Grassland,grasslands
australian_bustard,Grassland,woodland; savannah; grasslands; artificial; wetlands_lakes_marsh
african_houbara,Plains,grasslands; plains; desert; artificial
asian_houbara,Plains,shrub; plains; desert
ludwigs_bustard,Grassland,shrub; grasslands; desert
denhams_bustard,Grassland,woodland; savannah; grasslands; artificial
heuglins_bustard,Desert,savannah; grasslands; plains; desert
nubian_bustard,Shrub,shrub; savannah; desert
white_bellied_bustard,Grassland,woodland; savannah; grasslands; artificial; wetlands_lakes_marsh
blue_bustard,Grassland,grasslands; artificial
karoo_bustard,Grassland,shrub; grasslands; artificial
rüppells_bustard,Desert,shrub; plains; desert
little_brown_bustard,Grassland,shrub; grasslands
saviles_bustard,Woodland,forest; woodland; shrub; savannah; grasslands
buff_crested_bustard,Shrub,shrub
red_crested_bustard,Woodland,forest; woodland; savannah; grasslands; riparian
southern_black_bustard,Shrub,shrub; artificial; coastal
northern_black_bustard,Grassland,shrub; savannah; grasslands; desert; artificial
black_bellied_bustard,Grassland,woodland; savannah; grasslands; artificial; wetlands_lakes_marsh
hartlaubs_bustard,Grassland,savannah; grasslands
bengal_florican,Grassland,grasslands
lesser_florican,Grassland,grasslands
little_bustard,Grassland,grasslands; artificial
guira_cuckoo,Shrub,woodland; shrub; grasslands; coastal
greater_ani,Forest,forest; bamboo; artificial; riparian; coastal; wetlands_lakes_marsh
smooth_billed_ani,Shrub,woodland; shrub; grasslands; riparian
groove_billed_ani,Shrub,shrub; grasslands; wetlands_lakes_marsh
striped_cuckoo,Shrub,shrub
pheasant_cuckoo,Forest,forest; woodland; riparian
pavonine_cuckoo,Forest,forest; woodland; shrub
lesser_ground_cuckoo,Shrub,woodland; shrub
greater_roadrunner,Shrub,shrub; artificial
lesser_roadrunner,Shrub,woodland; shrub; artificial
rufous_vented_ground_cuckoo,Forest,forest; woodland; shrub; riparian
scaled_ground_cuckoo,Forest,forest
banded_ground_cuckoo,Forest,forest
rufous_winged_ground_cuckoo,Forest,forest
red_billed_ground_cuckoo,Forest,forest
buff_headed_coucal,Forest,forest; shrub; artificial
pied_coucal,Forest,forest; artificial
ivory_billed_coucal,Forest,forest; shrub
biak_coucal,Forest,forest
rufous_coucal,Forest,forest; bamboo
green_billed_coucal,Forest,forest; bamboo
black_faced_coucal,Forest,forest; shrub
black_hooded_coucal,Forest,forest
short_toed_coucal,Forest,forest; shrub; riparian; coastal
bay_coucal,Forest,forest; woodland; shrub
gabon_coucal,Forest,forest; artificial; wetlands_lakes_marsh
black_throated_coucal,Forest,forest; grasslands; wetlands_lakes_marsh
senegal_coucal,Shrub,woodland; shrub; artificial; riparian
blue_headed_coucal,Wetland,forest; savannah; artificial; riparian; wetlands_lakes_marsh
coppery_tailed_coucal,Riparian,shrub; grasslands; riparian; wetlands_lakes_marsh
white_browed_coucal,Riparian,shrub; artificial; riparian; wetlands_lakes_marsh
burchells_coucal,Woodland,woodland; riparian; coastal; wetlands_lakes_marsh
javan_coucal,Coastal,shrub; coastal; wetlands_lakes_marsh
greater_coucal,Forest,forest; bamboo; shrub; grasslands; artificial; riparian; coastal; wetlands_lakes_marsh
malagasy_coucal,Forest,forest; woodland; shrub; artificial; coastal; wetlands_lakes_marsh
goliath_coucal,Forest,forest; shrub; artificial
black_coucal,Grassland,grasslands; riparian; wetlands_lakes_marsh
philippine_coucal,Grassland,shrub; grasslands
lesser_coucal,Grassland,bamboo; shrub; grasslands; artificial; wetlands_lakes_marsh
violaceous_coucal,Forest,forest
black_billed_coucal,Shrub,shrub; grasslands
kai_coucal,Forest,forest; grasslands; artificial
pheasant_coucal,Shrub,forest; shrub; grasslands; riparian; coastal; wetlands_lakes_marsh
andaman_coucal,Forest,forest; artificial; coastal; wetlands_lakes_marsh
bornean_ground_cuckoo,Forest,forest
sumatran_ground_cuckoo,Forest,forest
coral_billed_ground_cuckoo,Forest,forest; shrub; rocky_areas
snail_eating_coua,Forest,forest
crested_coua,Forest,forest; shrub; savannah; coastal
chestnut_vented_coua,Forest,forest; shrub
verreauxs_coua,Shrub,shrub
blue_coua,Forest,forest; artificial; coastal
red_capped_coua,Forest,forest; shrub; riparian
olive_capped_coua,Forest,forest; shrub; riparian
red_fronted_coua,Forest,forest
coquerels_coua,Forest,forest
running_coua,Shrub,woodland; shrub; desert
giant_coua,Forest,forest; shrub
red_breasted_coua,Forest,forest
raffless_malkoha,Forest,forest; shrub; artificial
chattering_yellowbill,Forest,forest; shrub; riparian
whistling_yellowbill,Forest,forest; shrub; riparian
sirkeer_malkoha,Forest,forest; grasslands
red_billed_malkoha,Forest,forest; bamboo; shrub; artificial
yellow_billed_malkoha,Forest,forest; artificial; riparian
chestnut_breasted_malkoha,Forest,forest; shrub; artificial; coastal
mentawai_malkoha,Forest,forest; artificial; coastal
red_faced_malkoha,Forest,forest
chestnut_bellied_malkoha,Forest,forest; artificial; coastal
blue_faced_malkoha,Woodland,woodland
black_bellied_malkoha,Forest,forest; bamboo; shrub
green_billed_malkoha,Forest,forest; bamboo; shrub; artificial
red_crested_malkoha,Forest,forest; shrub; grasslands
scale_feathered_malkoha,Forest,forest
chestnut_winged_cuckoo,Woodland,woodland; shrub; artificial; coastal
great_spotted_cuckoo,Woodland,woodland; shrub; savannah; rocky_areas
levaillants_cuckoo,Woodland,forest; woodland; shrub; savannah
jacobin_cuckoo,Woodland,woodland; shrub; savannah
little_cuckoo,Forest,forest; shrub; riparian; coastal; wetlands_lakes_marsh
dwarf_cuckoo,Forest,forest; woodland; riparian
ash_colored_cuckoo,Shrub,woodland; shrub; riparian
common_squirrel_cuckoo,Forest,forest; shrub; artificial; riparian
mexican_squirrel_cuckoo,Forest,forest; woodland
black_bellied_cuckoo,Forest,forest; woodland; shrub
dark_billed_cuckoo,Woodland,woodland; riparian; coastal
yellow_billed_cuckoo,Woodland,forest; woodland; shrub; riparian
pearly_breasted_cuckoo,Forest,forest; shrub; riparian
mangrove_cuckoo,Coastal,woodland; shrub; coastal
cocos_cuckoo,Forest,forest; riparian
black_billed_cuckoo,Forest,forest; woodland; shrub; artificial; riparian
grey_capped_cuckoo,Forest,forest; shrub; riparian
chestnut_bellied_cuckoo,Forest,forest; woodland; shrub
bay_breasted_cuckoo,Forest,forest; shrub
jamaican_lizard_cuckoo,Forest,forest; woodland; shrub
cuban_lizard_cuckoo,Woodland,forest; woodland; shrub; savannah
bahama_lizard_cuckoo,Shrub,forest; shrub; artificial
puerto_rican_lizard_cuckoo,Forest,forest; woodland; shrub; artificial
hispaniolan_lizard_cuckoo,Woodland,woodland; shrub; artificial
thick_billed_cuckoo,Woodland,forest; woodland; riparian
dwarf_koel,Forest,forest
western_koel,Forest,forest; shrub; artificial; riparian
black_billed_koel,Forest,forest; woodland; shrub; savannah; artificial; coastal
eastern_koel,Forest,forest; shrub; artificial; riparian
long_tailed_koel,Forest,forest; shrub
channel_billed_cuckoo,Forest,forest; woodland; shrub; riparian; coastal
asian_emerald_cuckoo,Forest,forest; artificial
violet_cuckoo,Forest,forest; woodland; artificial; coastal
diederik_cuckoo,Shrub,woodland; shrub; artificial; wetlands_lakes_marsh
klaass_cuckoo,Woodland,forest; woodland; shrub; savannah
yellow_throated_cuckoo,Forest,forest
african_emerald_cuckoo,Woodland,woodland; shrub; artificial
long_billed_cuckoo,Forest,forest
horsfields_bronze_cuckoo,Woodland,woodland; shrub; coastal
black_eared_cuckoo,Shrub,forest; woodland; shrub
rufous_throated_bronze_cuckoo,Forest,forest
shining_bronze_cuckoo,Forest,forest; woodland; shrub; savannah; artificial; coastal
white_eared_bronze_cuckoo,Forest,forest; artificial
little_bronze_cuckoo,Forest,forest; bamboo; woodland; shrub; artificial; coastal
pied_bronze_cuckoo,Forest,forest; shrub; artificial; coastal; wetlands_lakes_marsh
pallid_cuckoo,Forest,forest; woodland; shrub; artificial; coastal
white_crowned_cuckoo,Forest,forest
chestnut_breasted_cuckoo,Forest,forest; shrub; riparian; coastal
fan_tailed_cuckoo,Forest,forest; woodland; coastal
banded_bay_cuckoo,Forest,forest; woodland; shrub; artificial
plaintive_cuckoo,Woodland,forest; woodland; shrub; plains; artificial; wetlands_lakes_marsh
grey_bellied_cuckoo,Woodland,forest; woodland; grasslands; artificial; wetlands_lakes_marsh
rusty_breasted_cuckoo,Forest,forest; shrub; artificial; coastal
sulawesi_brush_cuckoo,Forest,forest
sahul_brush_cuckoo,Forest,forest; shrub; artificial; coastal
manus_brush_cuckoo,Forest,forest
solomons_brush_cuckoo,Forest,forest
moluccan_cuckoo,Forest,forest
dusky_long_tailed_cuckoo,Forest,forest
whistling_long_tailed_cuckoo,Forest,forest
olive_long_tailed_cuckoo,Forest,forest
barred_long_tailed_cuckoo,Forest,forest; shrub; savannah; riparian; coastal
philippine_drongo_cuckoo,Forest,forest; bamboo; woodland
square_tailed_drongo_cuckoo,Forest,forest; bamboo; shrub; artificial; riparian; coastal
fork_tailed_drongo_cuckoo,Forest,forest; shrub; artificial
moluccan_drongo_cuckoo,Forest,forest; shrub; artificial
moustached_hawk_cuckoo,Forest,forest; bamboo
large_hawk_cuckoo,Woodland,woodland; artificial; coastal
dark_hawk_cuckoo,Forest,forest; artificial
common_hawk_cuckoo,Woodland,forest; woodland; coastal
northern_hawk_cuckoo,Forest,forest; artificial
philippine_hawk_cuckoo,Forest,forest
malay_hawk_cuckoo,Forest,forest; bamboo; artificial
whistling_hawk_cuckoo,Forest,forest; artificial
black_cuckoo,Forest,forest; woodland; artificial; riparian
red_chested_cuckoo,Forest,forest; woodland; shrub; savannah; riparian
lesser_cuckoo,Forest,forest; shrub; artificial
sulawesi_cuckoo,Forest,forest
indian_cuckoo,Forest,forest; woodland; shrub
madagascar_cuckoo,Forest,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh
african_cuckoo,Woodland,forest; woodland; savannah
himalayan_cuckoo,Forest,forest; woodland; artificial
oriental_cuckoo,Woodland,forest; woodland; savannah; artificial; coastal; wetlands_lakes_marsh
sunda_cuckoo,Forest,forest
common_cuckoo,Forest,forest; woodland; shrub; grasslands; wetlands_lakes_marsh
saint_helena_cuckoo,Forest,forest
white_breasted_mesite,Forest,forest
brown_mesite,Forest,forest
subdesert_mesite,Shrub,shrub
tibetan_sandgrouse,Plains,plains; rocky_areas; desert
pallass_sandgrouse,Grassland,shrub; grasslands; desert
pin_tailed_sandgrouse,Grassland,grasslands; desert; artificial; wetlands_lakes_marsh
namaqua_sandgrouse,Plains,savannah; plains; desert
chestnut_bellied_sandgrouse,Plains,shrub; grasslands; plains; artificial
spotted_sandgrouse,Desert,plains; desert
black_bellied_sandgrouse,Grassland,shrub; grasslands; plains; artificial
yellow_throated_sandgrouse,Grassland,grasslands; riparian; wetlands_lakes_marsh
crowned_sandgrouse,Desert,desert
black_faced_sandgrouse,Savanna,shrub; savannah
madagascar_sandgrouse,Savanna,woodland; savannah; grasslands; riparian; wetlands_lakes_marsh
lichtensteins_sandgrouse,Desert,shrub; plains; rocky_areas; desert
painted_sandgrouse,Grassland,forest; shrub; grasslands; rocky_areas
four_banded_sandgrouse,Shrub,shrub; artificial
double_banded_sandgrouse,Savanna,woodland; shrub; savannah; plains; rocky_areas
burchells_sandgrouse,Grassland,grasslands; desert
rock_pigeon,Rocky,rocky_areas; artificial; coastal
hill_pigeon,Rocky,rocky_areas; artificial
snow_pigeon,Rocky,rocky_areas
speckled_pigeon,Woodland,woodland; shrub; savannah; grasslands; rocky_areas; artificial
white_collared_pigeon,Woodland,woodland; grasslands; rocky_areas; coastal
stock_dove,Plains,forest; grasslands; plains; artificial
yellow_eyed_pigeon,Plains,plains; desert; artificial
somali_pigeon,Rocky,rocky_areas
common_woodpigeon,Woodland,forest; woodland; artificial
madeira_laurel_pigeon,Forest,forest
dark_tailed_laurel_pigeon,Forest,forest; shrub; artificial
white_tailed_laurel_pigeon,Forest,forest
afep_pigeon,Forest,forest; shrub; artificial; riparian
african_olive_pigeon,Forest,forest; artificial
cameroon_olive_pigeon,Forest,forest
sao_tome_olive_pigeon,Forest,forest
comoro_olive_pigeon,Forest,forest
speckled_woodpigeon,Forest,forest
white_naped_pigeon,Forest,forest
ashy_woodpigeon,Forest,forest
nilgiri_woodpigeon,Forest,forest
sri_lanka_woodpigeon,Forest,forest
pale_capped_pigeon,Forest,forest; woodland
silvery_pigeon,Coastal,forest; woodland; artificial; coastal
andaman_woodpigeon,Forest,forest
japanese_woodpigeon,Forest,forest
bonin_woodpigeon,Forest,forest
ryukyu_woodpigeon,Forest,forest; woodland
metallic_pigeon,Forest,forest; artificial
white_headed_pigeon,Forest,forest; artificial; riparian
yellow_legged_pigeon,Forest,forest
eastern_bronze_naped_pigeon,Forest,forest; riparian
western_bronze_naped_pigeon,Forest,forest; shrub; artificial; riparian
sao_tome_bronze_naped_pigeon,Forest,forest; artificial
mauritius_woodpigeon,Forest,forest
lemon_dove,Forest,forest; shrub; artificial; coastal
passenger_pigeon,Forest,forest
white_crowned_pigeon,Coastal,forest; woodland; artificial; coastal
scaly_naped_pigeon,Forest,forest; artificial
scaled_pigeon,Forest,forest; savannah; riparian
picazuro_pigeon,Woodland,woodland; shrub; artificial; riparian
bare_eyed_pigeon,Shrub,shrub; artificial; coastal
spot_winged_pigeon,Woodland,woodland; shrub; artificial
white_winged_pigeon,Forest,forest; woodland; shrub; savannah; grasslands; artificial
northern_band_tailed_pigeon,Forest,forest; woodland; shrub; savannah
southern_band_tailed_pigeon,Woodland,forest; woodland; savannah
chilean_pigeon,Forest,forest; bamboo; shrub; grasslands; rocky_areas; desert; artificial; coastal
ring_tailed_pigeon,Forest,forest
pale_vented_pigeon,Forest,forest; woodland; shrub; riparian; coastal
red_billed_pigeon,Forest,forest; shrub
peruvian_pigeon,Forest,forest; riparian
plain_pigeon,Forest,forest; desert; artificial; coastal; wetlands_lakes_marsh
plumbeous_pigeon,Forest,forest; shrub
ruddy_pigeon,Forest,forest; woodland; shrub
short_billed_pigeon,Forest,forest
dusky_pigeon,Forest,forest
madagascar_turtle_dove,Forest,forest; woodland; artificial
mauritius_turtle_dove,Forest,forest
rodrigues_turtle_dove,Forest,forest
pink_pigeon,Forest,forest
reunion_pigeon,Forest,forest
european_turtle_dove,Woodland,forest; woodland; grasslands; plains
dusky_turtle_dove,Forest,forest; bamboo; woodland; artificial
adamawa_turtle_dove,Forest,forest; woodland; artificial
oriental_turtle_dove,Woodland,forest; woodland; artificial
sunda_collared_dove,Coastal,woodland; artificial; coastal
philippine_collared_dove,Grassland,grasslands; artificial
eurasian_collared_dove,Plains,shrub; savannah; plains; desert; artificial
burmese_collared_dove,Plains,savannah; plains; artificial
african_collared_dove,Shrub,shrub; desert; artificial
white_winged_collared_dove,Forest,forest; riparian
mourning_collared_dove,Woodland,woodland; shrub; savannah; artificial; riparian
red_eyed_dove,Woodland,woodland; shrub; artificial; riparian; coastal
ring_necked_dove,Woodland,woodland; savannah; artificial
vinaceous_dove,Woodland,woodland; savannah; grasslands; artificial
red_collared_dove,Woodland,forest; woodland; shrub
eastern_spotted_dove,Forest,forest; shrub; artificial; riparian
western_spotted_dove,Woodland,woodland; artificial
laughing_dove,Savanna,woodland; savannah; plains; artificial
barred_cuckoo_dove,Forest,forest; artificial
slender_billed_cuckoo_dove,Forest,forest; shrub; artificial; riparian
sultans_cuckoo_dove,Woodland,forest; woodland; grasslands; artificial
ruddy_cuckoo_dove,Forest,forest
enggano_cuckoo_dove,Forest,forest
